,restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4,ring_classification
0,1,13,11,4.92,3.56,5.9e-06,0.99,2.76,[93],[89],4.0,2.4699185157636947,2.469079646743511,2.470697043125467,2.470384204521083,2.4703808533713536,2.469054356410091,macrocycle
1,2,2,4,3.86,3.06,1.08e-05,0.99,2.5,[94],[58],4.0,2.4461202207079404,2.4424800842373937,2.4484077147182566,2.4397622196240345,2.4574819740744505,2.4427525866136874,macrocycle
2,3,11,10,3.56,3.13,5e-06,0.99,2.83,[89],[85],3.0,2.60225961406902,2.597773864839716,2.6080446602634444,2.6019225400396513,2.5994361829217425,2.60420876318016,macrocycle
3,4,5,7b,4.22,1.83,4e-07,0.98,4.34,[59],[83],4.0,3.6824680550906983,3.680895224127372,3.6848050530646455,3.6820909521270675,3.682535348815983,3.6820215624225137,macrocycle
3,4,5,7b,4.22,1.83,4e-07,0.98,4.34,[59],[82],4.0,3.836342436620706,3.8380318767837407,3.8326189178911356,3.838380178923237,3.8352130327551586,3.83748960680774,macrocycle
4,5,4,7a,3.06,1.58,2.68e-05,0.99,2.15,[58],[82],5.0,2.185836162984618,2.1858771865827413,2.1850094592689633,2.1845926208007045,2.187460977328803,2.186248640130632,macrocycle
4,5,4,7a,3.06,1.58,2.68e-05,0.99,2.15,[58],[83],5.0,2.957952577200857,2.9470945304880636,2.961809232136538,2.9523379696460883,2.970996143795027,2.9579198866571192,macrocycle
5,6,5,6Me,4.22,1.33,1.84e-05,0.99,2.29,[59],"[80, 81, 79]",4.0,2.709985692717785,2.7101624761103533,2.7082074274122565,2.7123592969589074,2.7090367455112214,2.710175119080614,mixed
6,7,11,12Me,3.56,1.46,3.5e-06,0.99,3.01,[89],"[90, 91, 92]",4.0,3.520327962891593,3.5213443391477006,3.5167095079883697,3.5212921335174876,3.519921336757071,3.522391893307275,mixed
7,8,11,10Me,3.56,1.0,3e-07,0.99,4.46,[89],"[88, 86, 87]",4.0,3.881156766386709,3.8992760013164967,3.8520280392270543,3.882443579732903,3.8951136928289376,3.878179166209664,mixed
8,9,10,8Me,3.13,1.16,1.9e-05,0.99,2.27,[85],"[117, 118, 119]",5.0,2.6642351209371267,2.654413326783216,2.678960401916251,2.6607731756023427,2.661735715502625,2.6657286306297925,mixed
9,10,10,12Me,3.13,1.46,5.08e-05,0.99,1.93,[85],"[90, 91, 92]",5.0,2.4648531231575004,2.465586397880048,2.467635395160213,2.464760208796012,2.462484832625123,2.463820017437115,mixed
10,11,4,12Me,3.06,1.46,3.5e-06,0.99,3.02,[58],"[90, 91, 92]",9.0,4.110265367773154,4.126640663374236,4.093542527289332,4.135360559206297,4.082206315418713,4.115275211171145,mixed
11,12,8,6Me,2.59,1.33,2.61e-05,0.99,2.16,[84],"[80, 81, 79]",5.0,2.507694661537954,2.502789730540612,2.514955181785947,2.507110798529393,2.5051411513481856,2.5085939391755927,mixed
12,13,11,6OMe,3.56,2.61,3.6e-06,0.99,3.0,[89],"[76, 77, 78]",9.0,3.39415731795029,3.3914733354230746,3.3977185971470334,3.391384705394809,3.394455499769843,3.3957857047125755,mixed
13,14,13,18,4.92,1.66,2.3e-06,0.99,3.23,[93],"[105, 106]",7.0,2.781026600009691,2.7555625310944047,2.7884887025044627,2.79556965544766,2.776471948061266,2.7903431421843417,mixed
14,15,13,19,4.92,1.88,7.8e-06,0.99,2.64,[93],"[107, 108]",8.0,3.5593200728204106,3.5598565853154223,3.7636087408181895,3.528213174328055,3.4045189378644096,3.605475573605121,mixed
15,16,13,20,4.92,4.0,6e-07,0.99,4.07,[93],"[109, 110]",9.0,4.753900806798978,4.702126476944175,4.8742427983357945,4.949148393436616,4.650462948301567,4.647934376371131,mixed
16,17,11,18,3.5,1.66,2.9e-06,0.98,3.11,[89],"[105, 106]",5.0,2.987068143931584,2.969185786401462,3.0099148069175996,3.015386580422307,2.9694161775364947,2.973910044043278,mixed
17,18,1',4Me,4.27,1.3,1.67e-05,0.99,2.32,[60],"[120, 121, 122]",6.0,2.6157939041524187,2.610980691163762,2.6211544889603653,2.6151757657024555,2.6193515488924506,2.6124091844587776,mixed
