,restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4,ring_classification
0,1,13,11,4.92,3.56,5.9e-06,0.99,2.76,[93],[89],4.0,2.462398098949835,2.464501082712027,2.458569711293336,2.4614018419901296,2.465905735160318,2.461658925835998,macrocycle
1,2,2,4,3.86,3.06,1.08e-05,0.99,2.5,[94],[58],4.0,2.4488856996042663,2.438164876998548,2.4489957652453933,2.4472428449320147,2.4535203545378756,2.4567939082245775,macrocycle
2,3,11,10,3.56,3.13,5e-06,0.99,2.83,[89],[85],3.0,2.6010238429536683,2.606366932783569,2.5970522386731743,2.597641850680305,2.6023156180380735,2.601820633580336,macrocycle
3,4,5,7b,4.22,1.83,4e-07,0.98,4.34,[59],[83],4.0,3.6856757313716586,3.686854358289347,3.684219684146685,3.6844875616856028,3.686487115589469,3.6863356505422304,macrocycle
3,4,5,7b,4.22,1.83,4e-07,0.98,4.34,[59],[82],4.0,3.839153652483271,3.8405400929210964,3.8390125625044784,3.841990940435439,3.8374636861079825,3.8367778350382986,macrocycle
4,5,4,7a,3.06,1.58,2.68e-05,0.99,2.15,[58],[82],5.0,2.1827417853700433,2.180707187490537,2.182121531882327,2.1839913142693153,2.1824545466989576,2.1844489135588,macrocycle
4,5,4,7a,3.06,1.58,2.68e-05,0.99,2.15,[58],[83],5.0,2.939026285439212,2.9256793320750574,2.937074085336314,2.937935147568962,2.943843595358479,2.9510168570824784,macrocycle
5,6,5,6Me,4.22,1.33,1.84e-05,0.99,2.29,[59],"[80, 81, 79]",4.0,2.716628080453965,2.7201077443138235,2.7155584725755935,2.7165755480812184,2.7149959764562652,2.715923763292883,mixed
6,7,11,12Me,3.56,1.46,3.5e-06,0.99,3.01,[89],"[90, 91, 92]",4.0,3.5228658130101893,3.525148806856232,3.5230729341102487,3.5255955197584194,3.519094887884368,3.5214456898348905,mixed
7,8,11,10Me,3.56,1.0,3e-07,0.99,4.46,[89],"[88, 86, 87]",4.0,3.8869141796782216,3.861752664343526,3.901054369918819,3.909284149265393,3.8843450476270975,3.879393961837785,mixed
8,9,10,8Me,3.13,1.16,1.9e-05,0.99,2.27,[85],"[117, 118, 119]",5.0,2.6624431045106913,2.6688850125531154,2.656064190065162,2.653034946902859,2.6649769609888145,2.669554338915633,mixed
9,10,10,12Me,3.13,1.46,5.08e-05,0.99,1.93,[85],"[90, 91, 92]",5.0,2.4632058612710623,2.4642012135356484,2.4625260212308975,2.459965113141486,2.4639886504568254,2.4653728738281138,mixed
10,11,4,12Me,3.06,1.46,3.5e-06,0.99,3.02,[58],"[90, 91, 92]",9.0,4.115824800284413,4.148256626027209,4.116731703966902,4.1185317624953095,4.100888505242016,4.096124168170096,mixed
11,12,8,6Me,2.59,1.33,2.61e-05,0.99,2.16,[84],"[80, 81, 79]",5.0,2.502686782070633,2.5061393156314127,2.49951541600835,2.4974758489941418,2.504055883632045,2.506337539052899,mixed
12,13,11,6OMe,3.56,2.61,3.6e-06,0.99,3.0,[89],"[76, 77, 78]",9.0,3.400538185629736,3.4109699568068708,3.406412672424874,3.3930023022802827,3.402853708724437,3.3897831110471226,mixed
13,14,13,18,4.92,1.66,2.3e-06,0.99,3.23,[93],"[105, 106]",7.0,2.753518629268436,2.730686397317325,2.761578922793502,2.7458452058250393,2.7573638420255175,2.773468704130029,mixed
14,15,13,19,4.92,1.88,7.8e-06,0.99,2.64,[93],"[107, 108]",8.0,3.556830485375512,3.4648845856685417,3.409520545377661,3.534099215680498,3.733329156400691,3.728306704409018,mixed
15,16,13,20,4.92,4.0,6e-07,0.99,4.07,[93],"[109, 110]",9.0,4.624510654239902,4.487053261311289,4.560464193139992,4.5790067159817385,4.800904350603328,4.747497235045081,mixed
16,17,11,18,3.5,1.66,2.9e-06,0.98,3.11,[89],"[105, 106]",5.0,2.931821091726672,2.881523033736401,2.9248732151407713,2.91197982949327,2.9637863690309425,2.9850542489388943,mixed
17,18,1',4Me,4.27,1.3,1.67e-05,0.99,2.32,[60],"[120, 121, 122]",6.0,2.6056988555209926,2.6002687661161614,2.6114519744954157,2.603468042440281,2.605958640316089,2.607441742051231,mixed
