,restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4
0,1,13,11,4.92,3.56,5.9e-06,0.99,2.76,[93],[89],4.0,2.4707254827834673,2.5027481339327102,2.4701956524145383,2.4591345370329307,2.45821610842148,2.4651982046326486
1,2,2,4,3.86,3.06,1.08e-05,0.99,2.5,[94],[58],4.0,2.2786411180474384,2.2627475760926115,2.2740438685972357,2.2886465939029206,2.2920369005753223,2.2765884624236024
2,3,11,10,3.56,3.13,5e-06,0.99,2.83,[89],[85],3.0,2.670046997814522,2.8117845157968278,2.6990270266270144,2.60273921699946,2.6066042100480633,2.666168867954995
3,4,5,7b,4.22,1.83,4e-07,0.98,4.34,[59],[83],4.0,3.6845735920832734,3.706429820731141,3.6897505686988508,3.6708052111642124,3.673265157414815,3.6833949263435906
3,4,5,7b,4.22,1.83,4e-07,0.98,4.34,[59],[82],4.0,3.8177433772525755,3.8072982236982966,3.8145650205511683,3.8267683784632087,3.8223981934053475,3.8178911301598446
4,5,4,7a,3.06,1.58,2.68e-05,0.99,2.15,[58],[82],5.0,2.1852207093630613,2.1720592652152324,2.1798540999779883,2.192783470646244,2.194803674885007,2.1871736795105705
4,5,4,7a,3.06,1.58,2.68e-05,0.99,2.15,[58],[83],5.0,2.8778743166631915,2.9052008027236296,2.878512419119727,2.864357796924511,2.875447295245808,2.8671138314898243
5,6,5,6Me,4.22,1.33,1.84e-05,0.99,2.29,[59],"[80, 81, 79]",4.0,2.7557488460210684,2.760170675739015,2.757616281264234,2.7530527476846736,2.7510377159663406,2.75693531792083
6,7,11,12Me,3.56,1.46,3.5e-06,0.99,3.01,[89],"[90, 91, 92]",4.0,3.5285612204132404,3.507294438778526,3.52498207488366,3.5385201605532397,3.538960722151754,3.5337480306691966
7,8,11,10Me,3.56,1.0,3e-07,0.99,4.46,[89],"[88, 86, 87]",4.0,3.7079149514294785,3.536625053414047,3.660275940603366,3.8506851644090063,3.8393403200464467,3.718775094139705
8,9,10,8Me,3.13,1.16,1.9e-05,0.99,2.27,[85],"[117, 118, 119]",5.0,2.813793113814972,3.1293049357151235,2.868673119777538,2.6960493515576167,2.704668068352129,2.8042070095513245
9,10,10,12Me,3.13,1.46,5.08e-05,0.99,1.93,[85],"[90, 91, 92]",5.0,2.496062066437426,2.523047077907768,2.5021083264466846,2.4811372342634552,2.483607837913622,2.4920140151239654
10,11,4,12Me,3.06,1.46,3.5e-06,0.99,3.02,[58],"[90, 91, 92]",9.0,4.129853967785547,4.169940474036701,4.133107953688137,4.115906666972534,4.085545830801729,4.148268137082928
11,12,8,6Me,2.59,1.33,2.61e-05,0.99,2.16,[84],"[80, 81, 79]",5.0,2.5566249217535857,2.611816111581125,2.5679796120883163,2.525566997090445,2.5315162593883427,2.552633808777634
12,13,11,6OMe,3.56,2.61,3.6e-06,0.99,3.0,[89],"[76, 77, 78]",9.0,3.225567050225355,3.3536669135357626,3.253399372982942,3.1614247588138515,3.1644520059804955,3.2207933524068277
13,14,13,18,4.92,1.66,2.3e-06,0.99,3.23,[93],"[105, 106]",7.0,3.365348925332045,3.0833345328503765,3.370669714225299,3.546147473290231,3.6124821999025998,3.403507798840313
14,15,13,19,4.92,1.88,7.8e-06,0.99,2.64,[93],"[107, 108]",8.0,2.542674226421362,2.566647233803039,2.537757324847845,2.5380450265574868,2.5311923488764165,2.5407526681545756
15,16,13,20,4.92,4.0,6e-07,0.99,4.07,[93],"[109, 110]",9.0,3.742742286037899,3.606397256461004,3.7327403222303395,3.8107370682333848,3.887868831032208,3.717821907165683
16,17,11,18,3.5,1.66,2.9e-06,0.98,3.11,[89],"[105, 106]",5.0,3.312287027041501,3.2285123730978524,3.3458390701558347,3.3274399162872577,3.382040609594212,3.292244182545131
17,18,1',4Me,4.27,1.3,1.67e-05,0.99,2.32,[60],"[120, 121, 122]",6.0,2.6672166476733135,2.643727010104838,2.660721505775144,2.678447499670271,2.6890204946665253,2.6657408611045934
