,restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4
0,1,13,11,4.92,3.56,5.9e-06,0.99,2.76,[93],[89],4.0,2.4984145482995945,2.494343759336077,2.497473954224513,2.502696801176656,2.4959082977868094,2.5017241712262503
1,2,2,4,3.86,3.06,1.08e-05,0.99,2.5,[94],[58],4.0,2.6842357926911555,2.676068234450476,2.6904275495011842,2.674904796935919,2.689199193717271,2.6909210080599393
2,3,11,10,3.56,3.13,5e-06,0.99,2.83,[89],[85],3.0,2.5934055072369366,2.5949414578709455,2.594088560316732,2.5942828457254885,2.5918915195597614,2.5918344333979926
3,4,5,7b,4.22,1.83,4e-07,0.98,4.34,[59],[83],4.0,3.6951841715510945,3.693200686207623,3.697759108563565,3.6958111828432405,3.6929937050284867,3.696172023033786
3,4,5,7b,4.22,1.83,4e-07,0.98,4.34,[59],[82],4.0,3.750573385931128,3.752975970077001,3.7524612618142115,3.751559250119377,3.7462125717861623,3.7496860179436347
4,5,4,7a,3.06,1.58,2.68e-05,0.99,2.15,[58],[82],5.0,2.2503896735252837,2.250624845312714,2.2475216074398046,2.2499293110177057,2.2548221714542964,2.249096686393783
4,5,4,7a,3.06,1.58,2.68e-05,0.99,2.15,[58],[83],5.0,3.4822810039855376,3.4849521576298583,3.4819485804738806,3.4774572572431657,3.481843055114945,3.485243706004563
5,6,5,6Me,4.22,1.33,1.84e-05,0.99,2.29,[59],"[80, 81, 79]",4.0,2.6491741028086886,2.6495252391794537,2.6503005519221605,2.6500193144400885,2.647935394131973,2.648096360701847
6,7,11,12Me,3.56,1.46,3.5e-06,0.99,3.01,[89],"[90, 91, 92]",4.0,3.515621688868026,3.516980693489304,3.5147263990478734,3.51706588321649,3.5152162227075205,3.5141263477127795
7,8,11,10Me,3.56,1.0,3e-07,0.99,4.46,[89],"[88, 86, 87]",4.0,3.9858305188347694,3.983504618656033,3.9877028911793424,3.979859397137874,3.988610076329158,3.9895336608262877
8,9,10,8Me,3.13,1.16,1.9e-05,0.99,2.27,[85],"[117, 118, 119]",5.0,2.7410914571870535,2.7419551272504434,2.74053597524541,2.7383628507700593,2.74253722368085,2.742080900801318
9,10,10,12Me,3.13,1.46,5.08e-05,0.99,1.93,[85],"[90, 91, 92]",5.0,2.505232800376729,2.504205958055553,2.5051257744381985,2.507058637107178,2.503286405008635,2.506500913708285
10,11,4,12Me,3.06,1.46,3.5e-06,0.99,3.02,[58],"[90, 91, 92]",9.0,3.4542138742053896,3.4465535231879176,3.453410678881601,3.466644954816369,3.443982742567586,3.4608442518688576
11,12,8,6Me,2.59,1.33,2.61e-05,0.99,2.16,[84],"[80, 81, 79]",5.0,2.5629970541704394,2.5605852366522672,2.5626368236016104,2.5647730970494145,2.5643167068153168,2.562688352060788
12,13,11,6OMe,3.56,2.61,3.6e-06,0.99,3.0,[89],"[76, 77, 78]",9.0,3.3422485085241367,3.335877623978548,3.348756134865857,3.3400654420877,3.340659147543919,3.3459933236739285
13,14,13,18,4.92,1.66,2.3e-06,0.99,3.23,[93],"[105, 106]",7.0,2.746718030652099,2.772210081635735,2.6950382456467237,2.7528122359917417,2.810294091062364,2.7139346689239834
14,15,13,19,4.92,1.88,7.8e-06,0.99,2.64,[93],"[107, 108]",8.0,2.9517473489174173,2.916247132954028,3.0593855375659014,2.9396776754645684,2.9173129875101145,2.94190261689381
15,16,13,20,4.92,4.0,6e-07,0.99,4.07,[93],"[109, 110]",9.0,4.028285159662209,4.115240053272161,4.064063477332205,4.005046167164533,4.064607124403727,3.9136935132389143
16,17,11,18,3.5,1.66,2.9e-06,0.98,3.11,[89],"[105, 106]",5.0,2.65035470285871,2.635291492371896,2.6333440731349493,2.6635430841115033,2.668290794130783,2.6526479606984803
17,18,1',4Me,4.27,1.3,1.67e-05,0.99,2.32,[60],"[120, 121, 122]",6.0,2.8805031642774277,2.8889376164023908,2.874800298288333,2.8843697626809925,2.8889377339641564,2.865960259812713
