,restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4
0,1,13,11,4.76,3.48,8.86e-05,0.99,2.06,[93],[89],4.0,2.448757651739441,2.4439034100875037,2.446791784228481,2.4502774209219167,2.453974157025414,2.4489228890936876
1,2,5,8,4.01,2.53,7e-07,0.98,4.84,[59],[84],5.0,4.865980536953455,4.867913417311623,4.866507071810389,4.865518978207547,4.868912275695284,4.861077489084728
2,3,11,8,3.48,2.53,1.3e-06,0.95,4.39,[89],[84],5.0,3.5165546112273316,3.518119110444254,3.4757972369855072,3.7480538261247442,3.624662708284772,3.3191869396151836
3,4,11,4,3.48,3.19,3.7e-06,0.98,3.52,[89],[58],9.0,3.1616662054273377,3.1656773383312524,3.1864465087978444,3.166896236747996,3.129630666272953,3.1615615117150857
4,5,11,10,3.48,3.3,2.41e-05,0.99,2.58,[89],[85],3.0,2.6129670308423303,2.6147753944628036,2.6166778113148266,2.6007067418153698,2.604104167265622,2.629253312628998
5,6,10,8,3.3,2.53,2e-06,0.99,4.02,[85],[84],4.0,3.699111658643714,3.700172556222885,3.6983561647490815,3.6965095272601456,3.7004395348054038,3.7000911070794436
6,7,4,7b,3.19,1.75,4.23e-05,0.96,2.34,[58],[83],5.0,2.920930879074128,2.9198264895565815,2.9222405471985557,2.9075691020449597,2.9255219115975994,2.929835831621956
6,7,4,7b,3.19,1.75,4.23e-05,0.96,2.34,[58],[82],5.0,2.176054414901032,2.1751388564869347,2.1752972625971685,2.1773598491762156,2.176916460160967,2.1755662329297882
7,8,5,7a,4.01,1.67,1.6e-06,0.97,4.04,[59],[82],4.0,3.81793872589945,3.819975971543701,3.8184745575457937,3.8221607529672728,3.819288224305297,3.8098760766341138
7,8,5,7a,4.01,1.67,1.6e-06,0.97,4.04,[59],[83],4.0,3.6992123678813833,3.6986964500854795,3.6973159941683775,3.6981913455962347,3.6992769633690754,3.702596545886094
8,9,10,7a,3.3,1.67,1.59e-05,0.99,2.76,[85],[82],5.0,2.423054990073114,2.424761605160654,2.4251510202906124,2.4170130706613624,2.4102514449653243,2.438751412584876
8,9,10,7a,3.3,1.67,1.59e-05,0.99,2.76,[85],[83],5.0,3.800616045961541,3.7975415402288752,3.8003909855308975,3.7879055394380607,3.7903259795820547,3.827843133680421
9,10,11,7a,3.48,1.67,1.6e-06,0.99,4.04,[89],[82],6.0,2.9734991286966768,2.9760524203940957,2.978791092665892,2.9651078147742838,2.9704218724480906,2.977274312680862
9,10,11,7a,3.48,1.67,1.6e-06,0.99,4.04,[89],[83],6.0,4.520297018598196,4.520548770456859,4.522123934896589,4.52581564795866,4.523874500060822,4.509253316490474
10,11,5,6Me,4.01,1.07,5.3e-06,0.98,3.37,[59],"[80, 81, 79]",4.0,2.7377462942076756,2.7401214632789213,2.735890429809768,2.7398319519881946,2.736145676229062,2.7367636222928375
11,12,5,6OMe,4.01,2.12,2.98e-05,0.99,2.47,[59],"[76, 77, 78]",5.0,2.6597121886192614,2.6597051945782435,2.66439095670758,2.6554340324979213,2.656218874572236,2.662894142021888
12,13,11,12Me,3.48,1.58,2e-06,0.97,3.9,[89],"[90, 91, 92]",4.0,3.510979785706005,3.5161141404881144,3.511682467714656,3.5109970903346803,3.5089969544970723,3.507153507140818
13,14,11,6Me,3.48,1.07,3e-07,0.99,5.12,[89],"[80, 81, 79]",8.0,4.9259040388928765,4.920046250361445,4.925950727709793,4.926359836670416,4.933884251300548,4.9233534192476025
14,15,11,10Me,3.48,0.99,2.3e-06,0.97,3.82,[89],"[88, 86, 87]",4.0,3.8407429223425824,3.8419946879076106,3.8344445352810523,3.878709619518028,3.8604160793138846,3.792050830745718
15,16,10,12Me,3.3,1.58,1.3e-06,0.93,3.87,[85],"[90, 91, 92]",5.0,2.470596058990239,2.46819848531988,2.4693211796359678,2.4690839798524578,2.473616676407161,2.4727933960115664
16,17,8,10Me,2.53,0.99,1.6e-06,0.96,4.19,[84],"[88, 86, 87]",5.0,3.770698202870409,3.773335847008882,3.737597845573047,4.000888558601446,3.8892376088551783,3.557247181782641
17,18,25,6OMe,8.87,2.12,2e-07,0.99,5.58,[116],"[76, 77, 78]",19.0,4.479537030830668,4.372629592498138,4.493764470810374,4.571195693053882,4.485102926213147,4.491028110747691
18,19,21,15,7.77,0.83,2e-07,0.99,5.52,[112],"[100, 101, 102]",13.0,5.315990465243614,5.111659122885655,5.670315536103251,5.384113983809362,5.2312278982610305,5.291410040797807
19,20,17,11,3.6,3.48,9.9e-06,0.99,2.99,"[103, 104]",[89],4.0,2.8502871376301737,2.8676656001936554,2.85750388792787,2.826382548823641,2.8361255331893673,2.865431479360937
19,20,17,11,3.6,3.48,9.9e-06,0.99,2.99,[103],[89],4.0,3.2403747970440473,3.3231273178093232,3.2357987499328447,3.1257578052772543,3.2383570372530945,3.3058099133643504
19,20,17,11,3.6,3.48,9.9e-06,0.99,2.99,[104],[89],4.0,2.6532935527577335,2.6551947329028796,2.663223059524875,2.655618911359981,2.6367033474084285,2.656249053693032
20,21,17,10,3.6,3.3,4e-07,0.98,5.1,"[103, 104]",[85],5.0,4.516302260545559,4.519991824514873,4.517647253826062,4.5284557045624645,4.518647923989792,4.497184891935607
20,21,17,10,3.6,3.3,4e-07,0.98,5.1,[103],[85],5.0,4.893631163761489,4.927211673246922,4.898587569500126,4.873238060376392,4.894444482586908,4.876009040153695
20,21,17,10,3.6,3.3,4e-07,0.98,5.1,[104],[85],5.0,4.279166546860862,4.271441925736333,4.279077985376119,4.304271419779589,4.282065904591705,4.25984791204962
21,22,11,18,3.48,1.47,1.19e-05,0.99,2.9,[89],"[105, 106]",5.0,2.912071885804936,2.8875989575052543,2.896217595239297,2.949335984208463,2.930556980714363,2.8998905386321723
22,23,1',5,4.3,4.01,5.59e-05,0.99,2.24,[60],[59],4.0,2.424819980027642,2.4195169352621146,2.420924572568069,2.4220263163870177,2.431856825810078,2.429958193740192
23,24,1',4,4.3,3.19,1.1e-06,0.97,4.33,[60],[58],5.0,4.090723924514391,4.094398249560365,4.093771278507697,4.091947700778416,4.088695081932182,4.084861093601587
24,25,5',5,3.69,4.01,3.3e-06,0.99,3.59,[61],[59],6.0,3.6805516115524655,3.686027567976475,3.6816155893676408,3.684369296512467,3.679179015751077,3.6716868919595496
25,26,1',6Me,4.3,1.07,1e-06,0.97,4.47,[60],"[80, 81, 79]",6.0,3.5677011668628413,3.52292856521625,3.510200370954104,3.563372836287,3.5720872157468535,3.6884894967457535
