,restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4
0,1,13,11,4.76,3.48,8.86e-05,0.99,2.06,[82],[92],4.0,2.446740166242404,2.434666820776217,2.4480666561208992,2.451830777513751,2.4532840636845266,2.4461644769539097
1,2,5,8,4.01,2.53,7e-07,0.98,4.84,[56],[53],5.0,4.885235274817135,4.8483876959509615,4.910490087053272,4.912898500749475,4.91289777584089,4.845199752137825
2,3,11,8,3.48,2.53,1.3e-06,0.95,4.39,[92],[53],5.0,4.182501388978887,4.109877112215771,4.172048308815303,4.060624277952735,4.358455182786297,4.257419815865932
3,4,11,4,3.48,3.19,3.7e-06,0.98,3.52,[92],[62],9.0,2.6940221562073168,2.7151387787641887,2.6900435996303718,2.6803605710514407,2.688401954191684,2.697052897327314
4,5,11,10,3.48,3.3,2.41e-05,0.99,2.58,[92],[48],3.0,2.6334129515188556,2.636078828292376,2.635260875618629,2.630847395583217,2.6314299464731388,2.6334756747643997
5,6,10,8,3.3,2.53,2e-06,0.99,4.02,[48],[53],4.0,3.6349374521636753,3.636372501265675,3.6349854840486637,3.6331645591187707,3.6366937136267383,3.633481026966087
6,7,4,7b,3.19,1.75,4.23e-05,0.96,2.34,[62],[55],5.0,3.495300187640815,3.4962468338763486,3.483103702183251,3.506717441219418,3.4935570325703145,3.4971630934649127
6,7,4,7b,3.19,1.75,4.23e-05,0.96,2.34,[62],[54],5.0,2.277777108065599,2.2689307424717855,2.279890535125761,2.2823577716196293,2.281902423354272,2.275995402354673
7,8,5,7a,4.01,1.67,1.6e-06,0.97,4.04,[56],[54],4.0,3.765675281412369,3.7658547240453903,3.7519375211784394,3.769328905844556,3.7705693371248135,3.7709231428378844
7,8,5,7a,4.01,1.67,1.6e-06,0.97,4.04,[56],[55],4.0,3.7651268512333917,3.7704010875494482,3.760248244958468,3.7669506985796013,3.762260997757476,3.7658323922874377
8,9,10,7a,3.3,1.67,1.59e-05,0.99,2.76,[48],[54],5.0,2.2496521106068736,2.24712625225178,2.2556388147111823,2.2472654640202454,2.251196446030404,2.2471214833113002
8,9,10,7a,3.3,1.67,1.59e-05,0.99,2.76,[48],[55],5.0,3.6388456975985695,3.6400119847810517,3.6440990700400393,3.6369357512370115,3.639491964403962,3.633746486475205
9,10,11,7a,3.48,1.67,1.6e-06,0.99,4.04,[92],[54],6.0,3.164670150600056,3.1783177947739443,3.159996423638139,3.1645873308614436,3.1566907989667676,3.164057622025951
9,10,11,7a,3.48,1.67,1.6e-06,0.99,4.04,[92],[55],6.0,4.653449591315125,4.659735441511291,4.6505403078878675,4.650666512567128,4.650085918278142,4.656276124786371
10,11,5,6Me,4.01,1.07,5.3e-06,0.98,3.37,[56],"[36, 37, 38]",4.0,2.7320681953425523,2.73542632096809,2.7312057273448826,2.7309521277227313,2.7299630285391334,2.732817129996314
11,12,5,6OMe,4.01,2.12,2.98e-05,0.99,2.47,[56],"[32, 33, 34]",5.0,2.607655752378055,2.6083660030431255,2.6043987397233397,2.6123491121173466,2.6074083005602082,2.605805678000687
12,13,11,12Me,3.48,1.58,2e-06,0.97,3.9,[92],"[88, 89, 90]",4.0,3.5605803064759867,3.5653690250615955,3.5588356280848457,3.5580935873230057,3.5600387166934677,3.560596410902836
13,14,11,6Me,3.48,1.07,3e-07,0.99,5.12,[92],"[36, 37, 38]",8.0,5.086343189762847,5.080309560474154,5.081931854523596,5.093244746620542,5.08630890430486,5.090001283870434
14,15,11,10Me,3.48,0.99,2.3e-06,0.97,3.82,[92],"[45, 46, 47]",4.0,3.9793393773933583,3.9751596866666397,3.9749580531526156,3.9827770595381553,3.983449100750485,3.9804115239121582
15,16,10,12Me,3.3,1.58,1.3e-06,0.93,3.87,[48],"[88, 89, 90]",5.0,2.4946992003857336,2.4951889210035616,2.4931976188878116,2.4964644688468622,2.493946091212899,2.4947075668535894
16,17,8,10Me,2.53,0.99,1.6e-06,0.96,4.19,[53],"[45, 46, 47]",5.0,4.537541693439657,4.504976938184133,4.493221516682478,4.578409451696302,4.577921256058961,4.53805525368581
17,18,25,6OMe,8.87,2.12,2e-07,0.99,5.58,[122],"[32, 33, 34]",19.0,4.088095743987404,4.089076061974488,4.054643874796411,4.080085382640247,4.146423268873296,4.074256319928468
18,19,21,15,7.77,0.83,2e-07,0.99,5.52,[109],"[77, 78, 79]",13.0,4.964172351595496,4.857046040223966,4.97874195848494,4.910770289109045,5.008197729742589,5.088439082598817
19,20,17,11,3.6,3.48,9.9e-06,0.99,2.99,"[95, 96]",[92],4.0,2.8022232978515134,2.8081029832885154,2.8112876644249045,2.802034482803668,2.791696861499591,2.7982983326500523
19,20,17,11,3.6,3.48,9.9e-06,0.99,2.99,[95],[92],4.0,3.4355064941097515,3.360415065238716,3.536824761346442,3.458492531206101,3.404084258821078,3.4350595924639817
