,restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4
0,1,13,11,4.76,3.48,8.86e-05,0.99,2.06,[93],[89],4.0,2.448119195671396,2.450349573959208,2.4503678852631023,2.4490284999482994,2.442840197480629,2.4480653851214456
1,2,5,8,4.01,2.53,7e-07,0.98,4.84,[59],[84],5.0,4.862171944435304,4.867741264480932,4.86288543130563,4.867089950158603,4.85520969165446,4.858020833300029
2,3,11,8,3.48,2.53,1.3e-06,0.95,4.39,[89],[84],5.0,3.570194895412604,3.571935746517383,3.344912383276692,3.5418050648501254,4.244628523338683,3.5027740827909977
3,4,11,4,3.48,3.19,3.7e-06,0.98,3.52,[89],[58],9.0,3.144570964420403,3.1468761117632345,3.185077084461841,3.134680830091398,3.104851242989104,3.1551917647044583
4,5,11,10,3.48,3.3,2.41e-05,0.99,2.58,[89],[85],3.0,2.60993195024817,2.609026741094472,2.6261252235359085,2.611275185746716,2.5899511197808156,2.614201755558692
5,6,10,8,3.3,2.53,2e-06,0.99,4.02,[85],[84],4.0,3.698760300065832,3.697614548314836,3.701409059965531,3.700077514895397,3.696584728533165,3.698130020246622
6,7,4,7b,3.19,1.75,4.23e-05,0.96,2.34,[58],[83],5.0,2.9230409969646356,2.925215358678406,2.9120187371772377,2.927193926925299,2.9301904679233743,2.9208263544080193
6,7,4,7b,3.19,1.75,4.23e-05,0.96,2.34,[58],[82],5.0,2.1777762408548194,2.1762251860480664,2.1754691526159933,2.177389159407754,2.1809838690007806,2.178844834153054
7,8,5,7a,4.01,1.67,1.6e-06,0.97,4.04,[59],[82],4.0,3.8150917094366195,3.811943458830468,3.819343144315999,3.8122153767601286,3.8145252992283494,3.817469993906773
7,8,5,7a,4.01,1.67,1.6e-06,0.97,4.04,[59],[83],4.0,3.69918162422026,3.699247524597063,3.70010141841231,3.701510535679107,3.6962166948640767,3.6988463164547203
8,9,10,7a,3.3,1.67,1.59e-05,0.99,2.76,[85],[82],5.0,2.4138933388387156,2.409430738262241,2.4452464464102714,2.411489311310979,2.3859925311210675,2.4199395230557927
8,9,10,7a,3.3,1.67,1.59e-05,0.99,2.76,[85],[83],5.0,3.790949882760766,3.787981467428414,3.8341739861331305,3.7824100637835585,3.751915373884474,3.801567820750801
9,10,11,7a,3.48,1.67,1.6e-06,0.99,4.04,[89],[82],6.0,2.9759162275929545,2.9752174204004755,2.977906523125397,2.974365017529472,2.983234682426153,2.9689849904422276
9,10,11,7a,3.48,1.67,1.6e-06,0.99,4.04,[89],[83],6.0,4.524164941950275,4.524262165724028,4.517446983553634,4.519885075204652,4.540012289527533,4.519476997470671
10,11,5,6Me,4.01,1.07,5.3e-06,0.98,3.37,[59],"[80, 81, 79]",4.0,2.7392743295177646,2.7383332398202427,2.7408274721610204,2.7407947696270347,2.737633967340164,2.7387930977362225
11,12,5,6OMe,4.01,2.12,2.98e-05,0.99,2.47,[59],"[76, 77, 78]",5.0,2.6585597735254285,2.6610933256334643,2.6625679717459216,2.658296243716291,2.6521233654423564,2.658802518103231
12,13,11,12Me,3.48,1.58,2e-06,0.97,3.9,[89],"[90, 91, 92]",4.0,3.51117210633016,3.513509834957818,3.510519181021794,3.510057907009218,3.512831634474005,3.508956718206101
13,14,11,6Me,3.48,1.07,3e-07,0.99,5.12,[89],"[80, 81, 79]",8.0,4.925671254704776,4.926536458578783,4.9137121382549545,4.928759761143897,4.935761174105578,4.9237708418586585
14,15,11,10Me,3.48,0.99,2.3e-06,0.97,3.82,[89],"[88, 86, 87]",4.0,3.8501030365709177,3.8530707245671665,3.7963154067303067,3.845421773668069,3.9284364068671658,3.835514280169176
15,16,10,12Me,3.3,1.58,1.3e-06,0.93,3.87,[85],"[90, 91, 92]",5.0,2.469995337789263,2.4692254769474387,2.4718465448634905,2.4701568619284227,2.4675943691276876,2.471169300125483
16,17,8,10Me,2.53,0.99,1.6e-06,0.96,4.19,[84],"[88, 86, 87]",5.0,3.809712675081153,3.813068978204787,3.5754790294786556,3.7893897399326133,4.474300317263351,3.7338656240335166
17,18,25,6OMe,8.87,2.12,2e-07,0.99,5.58,[116],"[76, 77, 78]",19.0,4.459546258200556,4.416016367490406,4.4864993652710465,4.447986559799556,4.406529167063662,4.5514522801659325
18,19,21,15,7.77,0.83,2e-07,0.99,5.52,[112],"[100, 101, 102]",13.0,5.098538118356444,5.181124999339949,5.057741854614076,5.171829714457178,5.12439463251939,4.977911290400574
19,20,17,11,3.6,3.48,9.9e-06,0.99,2.99,"[103, 104]",[89],4.0,2.858705066700631,2.845176567608893,2.8643453827499545,2.851861029398288,2.8573121517815707,2.8754958175224683
19,20,17,11,3.6,3.48,9.9e-06,0.99,2.99,[103],[89],4.0,3.265285036166965,3.1902157878631194,3.2953430356187634,3.243950712386307,3.2667613519199312,3.3443140307803865
19,20,17,11,3.6,3.48,9.9e-06,0.99,2.99,[104],[89],4.0,2.6574237418703768,2.6602040121619086,2.6572595943504576,2.654318848145092,2.655406633202539,2.659966409082117
20,21,17,10,3.6,3.3,4e-07,0.98,5.1,"[103, 104]",[85],5.0,4.518991920763521,4.518018893685528,4.504486232005115,4.513702532922326,4.540447913779066,4.518842978567442
20,21,17,10,3.6,3.3,4e-07,0.98,5.1,[103],[85],5.0,4.911339857700421,4.885535935988928,4.893226955209053,4.895913203985362,4.949817370979072,4.934505276139089
20,21,17,10,3.6,3.3,4e-07,0.98,5.1,[104],[85],5.0,4.276018771027273,4.284725296379452,4.263185465697628,4.274720471809933,4.290660348915853,4.267238584113712
21,22,11,18,3.48,1.47,1.19e-05,0.99,2.9,[89],"[105, 106]",5.0,2.8985836371483735,2.9119137354865487,2.881770085035167,2.9099161850409776,2.9218191782545224,2.869871667225015
22,23,1',5,4.3,4.01,5.59e-05,0.99,2.24,[60],[59],4.0,2.425912802483195,2.4200639703202462,2.4264168146022507,2.425539394322226,2.4242170424088907,2.4334627506883693
23,24,1',4,4.3,3.19,1.1e-06,0.97,4.33,[60],[58],5.0,4.088712517709692,4.096242111049235,4.089325717221251,4.084419470269884,4.097436692431434,4.076398665774008
24,25,5',5,3.69,4.01,3.3e-06,0.99,3.59,[61],[59],6.0,3.6787945739760786,3.6808538540268514,3.6912152684659527,3.6731807986250486,3.677686278572599,3.6712715775832376
25,26,1',6Me,4.3,1.07,1e-06,0.97,4.47,[60],"[80, 81, 79]",6.0,3.619900351092396,3.589726739874502,3.523675039909267,3.6336340795671913,3.6059360555338142,3.7793985480773786
