,restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4
0,1,13,11,4.76,3.48,8.86e-05,0.99,2.06,[93],[89],4.0,2.4531394766446066,2.45899638835014,2.4610799604597315,2.4566126734676095,2.438272781104735,2.451216336414927
1,2,5,8,4.01,2.53,7e-07,0.98,4.84,[59],[84],5.0,4.2314553392421415,4.04840109967923,4.231389098164031,4.274302015888882,4.298114401669523,4.352597375531922
2,3,11,8,3.48,2.53,1.3e-06,0.95,4.39,[89],[84],5.0,3.0413484925885728,2.9018293245188893,2.8770438281628574,3.033976927473194,3.3703149590562016,3.2092195749063683
3,4,11,4,3.48,3.19,3.7e-06,0.98,3.52,[89],[58],9.0,3.657970231828545,3.6935427065678637,3.7556556567714354,3.646892081474764,3.6272096707276233,3.5829814754983804
4,5,11,10,3.48,3.3,2.41e-05,0.99,2.58,[89],[85],3.0,2.642098998952017,2.673750568499468,2.6861623470072313,2.6420732471092876,2.6006823423783167,2.614948753720178
5,6,10,8,3.3,2.53,2e-06,0.99,4.02,[85],[84],4.0,3.573183838832116,3.566517223391135,3.5789584467148723,3.5610435144453865,3.5781682217285034,3.5815460629801437
6,7,4,7b,3.19,1.75,4.23e-05,0.96,2.34,[58],[83],5.0,2.6811974259921643,2.7248107693229393,2.682703605066694,2.6956951939818636,2.605326905471025,2.7092198722156753
6,7,4,7b,3.19,1.75,4.23e-05,0.96,2.34,[58],[82],5.0,2.2205193710635966,2.211902991841039,2.215237860133617,2.2186124679679815,2.2431449949779343,2.21470587844067
7,8,5,7a,4.01,1.67,1.6e-06,0.97,4.04,[59],[82],4.0,3.28752491689957,3.3816981198105536,3.301408434743206,3.3140101741715897,3.1195249059671815,3.372541885651909
7,8,5,7a,4.01,1.67,1.6e-06,0.97,4.04,[59],[83],4.0,3.576795889024308,3.5956217928230294,3.5843562164524263,3.5832813851321306,3.524560627376455,3.599888391355883
8,9,10,7a,3.3,1.67,1.59e-05,0.99,2.76,[85],[82],5.0,2.551818725829565,2.595848565782608,2.6385006162343574,2.550055079110771,2.4996808495532297,2.495546097467499
8,9,10,7a,3.3,1.67,1.59e-05,0.99,2.76,[85],[83],5.0,3.5729345425362897,3.67596091010947,3.6189569076629984,3.6088382166352506,3.405783283005657,3.599893555719789
9,10,11,7a,3.48,1.67,1.6e-06,0.99,4.04,[89],[82],6.0,2.795276088374561,2.855728428672288,2.784875007402964,2.8140570066617028,2.697955343264729,2.8446235040073202
9,10,11,7a,3.48,1.67,1.6e-06,0.99,4.04,[89],[83],6.0,4.021647749787458,4.089349679841683,4.031378762494623,4.044645208335311,3.8542705669851447,4.129801559424828
10,11,5,6Me,4.01,1.07,5.3e-06,0.98,3.37,[59],"[80, 81, 79]",4.0,2.814701378499937,2.802431356768713,2.8173430646285147,2.8134716176642454,2.838306081981184,2.8030043843166244
11,12,5,6OMe,4.01,2.12,2.98e-05,0.99,2.47,[59],"[76, 77, 78]",5.0,2.68842588595596,2.6928983575110137,2.6953632979884774,2.6945730137866604,2.677511461300571,2.6821290725149227
12,13,11,12Me,3.48,1.58,2e-06,0.97,3.9,[89],"[90, 91, 92]",4.0,3.5305829774525357,3.5263170986174135,3.524172269884766,3.5308254121056057,3.5398236762022304,3.531921363774021
13,14,11,6Me,3.48,1.07,3e-07,0.99,5.12,[89],"[80, 81, 79]",8.0,4.750392393399083,4.7165117189381425,4.736923524491715,4.760206317190059,4.801058871276424,4.740244052136063
14,15,11,10Me,3.48,0.99,2.3e-06,0.97,3.82,[89],"[88, 86, 87]",4.0,3.7539441722237923,3.692721191374152,3.6856335240213096,3.750175584129604,3.8492361846585066,3.8110349200709126
15,16,10,12Me,3.3,1.58,1.3e-06,0.93,3.87,[85],"[90, 91, 92]",5.0,2.4970097702543486,2.4991101488144554,2.504957628625423,2.498184376923727,2.491113086050822,2.491865846729337
16,17,8,10Me,2.53,0.99,1.6e-06,0.96,4.19,[84],"[88, 86, 87]",5.0,3.2636959487053128,3.1238730766910288,3.069325036446229,3.2592290740438665,3.6225998378066877,3.4545122315997947
17,18,25,6OMe,8.87,2.12,2e-07,0.99,5.58,[116],"[76, 77, 78]",19.0,5.717544992517652,5.509029625880561,5.561510023045649,6.131343120475426,5.908757609045255,5.634911379735518
18,19,21,15,7.77,0.83,2e-07,0.99,5.52,[112],"[100, 101, 102]",13.0,3.845548959019241,3.9676656410967563,3.8019167438696138,3.7509651669586113,3.8795776357218594,3.8516773551235146
19,20,17,11,3.6,3.48,9.9e-06,0.99,2.99,"[103, 104]",[89],4.0,2.751708934751264,2.7631003801276464,2.756380899331184,2.757118101078318,2.7402486786232916,2.742209295758606
19,20,17,11,3.6,3.48,9.9e-06,0.99,2.99,[103],[89],4.0,3.55113145129748,3.575205080791972,3.535389276381437,3.54617478801054,3.5438271604905336,3.555969303277365
19,20,17,11,3.6,3.48,9.9e-06,0.99,2.99,[104],[89],4.0,2.498749746698282,2.508301691739285,2.5048972088181913,2.5046947540606053,2.487708982763381,2.4886904328243666
20,21,17,10,3.6,3.3,4e-07,0.98,5.1,"[103, 104]",[85],5.0,4.263958664058927,4.238198632271686,4.234461527991682,4.264284903107541,4.300225068590295,4.2853299576883375
20,21,17,10,3.6,3.3,4e-07,0.98,5.1,[103],[85],5.0,4.448234769541959,4.392283437797811,4.392934063618854,4.458635392186894,4.515454724656786,4.491863499612879
20,21,17,10,3.6,3.3,4e-07,0.98,5.1,[104],[85],5.0,4.122599326487512,4.115437744146019,4.108958237025033,4.117081501374814,4.141028299198827,4.131065369782566
21,22,11,18,3.48,1.47,1.19e-05,0.99,2.9,[89],"[105, 106]",5.0,3.5164704080586344,3.4753029390843886,3.4987414063263182,3.4510812693343236,3.5806014170397664,3.5924981602334665
22,23,1',5,4.3,4.01,5.59e-05,0.99,2.24,[60],[59],4.0,2.3449934796743794,2.3480121258454196,2.3436645240097995,2.335585006235972,2.3568295490299116,2.3412532127296917
23,24,1',4,4.3,3.19,1.1e-06,0.97,4.33,[60],[58],5.0,4.03587862594758,4.032001239633206,4.0255507702119235,4.0465983251397,4.038001511482135,4.037452492518041
24,25,5',5,3.69,4.01,3.3e-06,0.99,3.59,[61],[59],6.0,3.6451358951599944,3.6493808146622824,3.6446061736274316,3.6583607607317004,3.6400773002365314,3.633591972335622
25,26,1',6Me,4.3,1.07,1e-06,0.97,4.47,[60],"[80, 81, 79]",6.0,3.763844134247454,3.7227965108676973,3.7977969775169598,3.6149115096811424,3.907420658960729,3.8224036716956347
