,restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4
0,1,13,11,4.76,3.48,8.86e-05,0.99,2.06,[93],[89],4.0,2.5014388985274465,2.5007518311673897,2.504043239211274,2.5003515472874467,2.501761010186458,2.500300606162748
1,2,5,8,4.01,2.53,7e-07,0.98,4.84,[59],[84],5.0,4.8479076295696135,4.856439625437378,4.829826484355842,4.856046376651276,4.851976326232346,4.845603412813748
2,3,11,8,3.48,2.53,1.3e-06,0.95,4.39,[89],[84],5.0,4.233423992824213,4.304614983826621,4.295976825432291,4.022375764411875,4.292903783743832,4.307896003571827
3,4,11,4,3.48,3.19,3.7e-06,0.98,3.52,[89],[58],9.0,2.6630872621605017,2.669835450816984,2.6608958491834183,2.6630448113543426,2.658706631178855,2.6630446769531613
4,5,11,10,3.48,3.3,2.41e-05,0.99,2.58,[89],[85],3.0,2.5922305592609485,2.5940144408181114,2.5915371048073776,2.5913682232070006,2.591308167994288,2.592932617732366
5,6,10,8,3.3,2.53,2e-06,0.99,4.02,[85],[84],4.0,3.6038015620778143,3.603944201891599,3.6038679429048823,3.6014907351770793,3.6041658094669486,3.605547425224077
6,7,4,7b,3.19,1.75,4.23e-05,0.96,2.34,[58],[83],5.0,3.479550513445467,3.4750316402111574,3.4611364438825505,3.4832562253298405,3.49001645844814,3.4888885154975213
6,7,4,7b,3.19,1.75,4.23e-05,0.96,2.34,[58],[82],5.0,2.2470339386406195,2.2476156288804954,2.245540127417513,2.2462081496657755,2.247692949520358,2.248120421780889
7,8,5,7a,4.01,1.67,1.6e-06,0.97,4.04,[59],[82],4.0,3.7430831833980887,3.7372787306249293,3.736032413944488,3.746984090952015,3.745885960910951,3.7493714032623555
7,8,5,7a,4.01,1.67,1.6e-06,0.97,4.04,[59],[83],4.0,3.711295142601262,3.710205579286546,3.7105972209201488,3.7127429118498894,3.71127046472275,3.7116632192130834
8,9,10,7a,3.3,1.67,1.59e-05,0.99,2.76,[85],[82],5.0,2.234796360299863,2.2360074775419294,2.2370621481491235,2.2358012511536502,2.2312990837058857,2.2338443894886866
8,9,10,7a,3.3,1.67,1.59e-05,0.99,2.76,[85],[83],5.0,3.6011082373857883,3.6011284365571257,3.6012610885084646,3.602489249335175,3.598262843345582,3.602410977485614
9,10,11,7a,3.48,1.67,1.6e-06,0.99,4.04,[89],[82],6.0,3.126649288571717,3.1333613819014627,3.1135807576933194,3.1199185656157216,3.1336674765562726,3.1331140767434444
9,10,11,7a,3.48,1.67,1.6e-06,0.99,4.04,[89],[83],6.0,4.609424982039313,4.611619861701099,4.599868800488764,4.604736727571152,4.615130054761182,4.615916086237535
10,11,5,6Me,4.01,1.07,5.3e-06,0.98,3.37,[59],"[80, 81, 79]",4.0,2.661284603663036,2.661678280379988,2.6616273156297643,2.6619014832014742,2.659352467579445,2.661869698993144
11,12,5,6OMe,4.01,2.12,2.98e-05,0.99,2.47,[59],"[76, 77, 78]",5.0,2.4956203266155907,2.4975256309842426,2.4906932660496466,2.4977714722690285,2.497124292233707,2.4950363988747792
12,13,11,12Me,3.48,1.58,2e-06,0.97,3.9,[89],"[90, 91, 92]",4.0,3.514123647373182,3.515252862675392,3.5149162439723405,3.5143488098211972,3.512263160403395,3.5138426357425168
13,14,11,6Me,3.48,1.07,3e-07,0.99,5.12,[89],"[80, 81, 79]",8.0,5.052842387831755,5.056998737061827,5.052130262043014,5.0479585124674164,5.0565485093297315,5.050617702161702
