,restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4
0,1,16,21,4.39,1.07,1.163e-05,0.99,2.35,[56],"[51, 52, 53]",5.0,2.6493276265405963,2.6762879016147294,2.6585958700353096,2.6825114928087346,2.636029660663717,2.599374297235424
1,2,16,23,3.2,2.77,1.25e-06,0.56,3.41,[56],"[57, 58, 59]",4.0,3.0031777804374844,2.9391619906448057,2.897331259845996,2.89766279792991,3.3941902581106302,3.0549094708907756
2,3,9,21,3.7,1.07,6.09e-06,0.99,2.62,[42],"[51, 52, 53]",8.0,3.6840476493821077,3.802759257161271,3.8379221391043044,3.712880126853107,3.289495996236539,4.187842389479105
3,4,9,8,3.7,1.92,6.73e-06,0.98,2.58,[42],"[40, 41]",3.0,2.4274700268418075,2.428847204911235,2.4274982080691228,2.4319253389677757,2.4190062138396438,2.4302195025185918
4,5,9,10,3.7,2.16,1.46e-06,0.98,3.32,[42],[44],3.0,2.4709560751762907,2.474163651516162,2.463080957404333,2.5105542618536942,2.4514404326277917,2.458545770096938
5,6,9,10,3.7,1.48,4.74e-06,0.99,2.73,[42],[44],3.0,2.4709560751762907,2.474163651516162,2.463080957404333,2.5105542618536942,2.4514404326277917,2.458545770096938
6,7,9,8,3.7,1.2,4.56e-06,0.91,2.75,[42],"[40, 41]",3.0,2.4274700268418075,2.428847204911235,2.4274982080691228,2.4319253389677757,2.4190062138396438,2.4302195025185918
7,8,11,14,3.79,3.26,2.192e-05,0.87,2.12,"[45, 46]",[50],5.0,2.3662120567257503,2.3645868556949794,2.363490349822775,2.4203906154902435,2.3404605596330135,2.3477608578139213
8,9,10,11,2.16,3.79,5.44e-06,0.85,2.67,[44],"[45, 46]",3.0,2.627312483499853,2.6205934249965903,2.6394691537459463,2.5940647325547643,2.6338607966835776,2.651148755644192
9,10,7,8,1.71,1.2,3.42e-06,0.9,2.88,[38],"[40, 41]",3.0,2.46979841517504,2.4702315025792787,2.467440375021228,2.4745753604946694,2.4638175936662514,2.473033379388429
10,11,5,7,4.03,1.71,1.03e-06,0.99,3.52,[62],[38],4.0,3.768039113343211,3.765405544226312,3.766996270112626,3.7675956352471913,3.758247623501205,3.7822330891370615
11,12,7,19,1.91,3.21,2.15e-06,0.93,3.11,[38],"[34, 35, 36]",5.0,2.759496883662698,2.771036706525983,2.749803232625511,2.774447557962198,2.7428324535091737,2.760290041621088
12,13,15,22,3.41,3.22,1.43e-06,0.93,3.33,[54],"[66, 67, 68]",4.0,2.608731342023799,2.6111729048126593,2.6152329777253147,2.609277580849336,2.599605806549789,2.608544979956193
13,14,15,21,3.41,1.07,7.67e-06,0.93,2.52,[54],"[51, 52, 53]",4.0,2.997569503397784,2.9965199959206408,3.006642179226885,3.142441784371348,2.9138741774883408,2.9606044007214565
14,15,4,6,4.14,3.35,4.51e-06,0.93,2.75,[60],[37],4.0,2.5240799250868626,2.548653573329635,2.515804259361631,2.5496997841245372,2.4935101710168377,2.515960839551434
15,16,5,6,4.03,3.35,2.82e-06,0.8,2.98,[62],[37],3.0,2.384416016490187,2.382424928375698,2.385219845483741,2.3841723798290886,2.3881390481106584,2.382158508900203
