,restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4,ring_classification
0,1,16,21,4.39,1.07,1.163e-05,0.99,2.35,[55],"[51, 52, 53]",5.0,3.2453470488030995,3.5595217484861488,3.194622282906648,3.0077627129430513,3.4966432319911838,3.1897528469933896,mixed
1,2,16,23,3.2,2.77,1.25e-06,0.56,3.41,[55],"[57, 58, 59]",4.0,3.011322620622909,3.080109463889324,3.2845608809595586,3.0540984920698273,2.942152611841591,2.825834567084655,mixed
2,3,9,21,3.7,1.07,6.09e-06,0.99,2.62,[42],"[51, 52, 53]",8.0,4.265336270900005,3.885927099951687,5.5888942721651595,5.144604512466476,3.956515365692672,4.1617327023049855,mixed
3,4,9,8,3.7,1.92,6.73e-06,0.98,2.58,[42],"[40, 41]",3.0,2.424821711432705,2.422446468319376,2.42704576790781,2.422409857062338,2.4221680443616407,2.43011248960012,mixed
4,5,9,10,3.7,2.16,1.46e-06,0.98,3.32,[42],[44],3.0,2.4916258302484935,2.445057589069024,2.5303724849889333,2.521742095140355,2.476277042598804,2.4914795921661557,macrocycle
5,6,9,10,3.7,1.48,4.74e-06,0.99,2.73,[42],[44],3.0,2.4916258302484935,2.445057589069024,2.5303724849889333,2.521742095140355,2.476277042598804,2.4914795921661557,macrocycle
6,7,9,8,3.7,1.2,4.56e-06,0.91,2.75,[42],"[40, 41]",3.0,2.424821711432705,2.422446468319376,2.42704576790781,2.422409857062338,2.4221680443616407,2.43011248960012,mixed
7,8,11,14,3.79,3.26,2.192e-05,0.87,2.12,"[45, 46]",[50],5.0,2.4203172543301905,2.3921558709219775,2.4493310711380962,2.462194453344254,2.3838320412154563,2.420864566171115,macrocycle
8,9,10,11,2.16,3.79,5.44e-06,0.85,2.67,[44],"[45, 46]",3.0,2.5931755357572235,2.6162346892482042,2.578796305095487,2.5770214867213213,2.615808157382791,2.580263052537814,macrocycle
9,10,7,8,1.71,1.2,3.42e-06,0.9,2.88,[38],"[40, 41]",3.0,2.467877338431866,2.463946628795522,2.4708790356734425,2.46663399461526,2.465822302908738,2.472173728890078,extracyclic
10,11,5,7,4.03,1.71,1.03e-06,0.99,3.52,[62],[38],4.0,3.766729689616553,3.77376980337508,3.7719296501103634,3.7617285619631833,3.763097548451645,3.76324069345129,mixed
11,12,7,19,1.91,3.21,2.15e-06,0.93,3.11,[38],"[34, 35, 36]",5.0,2.754082332638469,2.7414033771430364,2.7601792177629934,2.747706149527189,2.7459260663216294,2.7761962489323992,extracyclic
12,13,15,22,3.41,3.22,1.43e-06,0.93,3.33,[54],"[66, 67, 68]",4.0,2.613397732593769,2.6097934545802195,2.614891186053776,2.624517474650788,2.6088067998434186,2.609215809789511,mixed
13,14,15,21,3.41,1.07,7.67e-06,0.93,2.52,[54],"[51, 52, 53]",4.0,3.182743289635948,2.991814193220988,3.4371680053238123,3.555685946900036,3.0708878468919782,3.102147382547887,mixed
14,15,4,6,4.14,3.35,4.51e-06,0.93,2.75,[60],[37],4.0,2.588137715388934,2.5414805144925934,2.6346587576138463,2.6117845392613037,2.5778423479843173,2.5817443047899657,mixed
15,16,5,6,4.03,3.35,2.82e-06,0.8,2.98,[62],[37],3.0,2.3874287214118803,2.3856231599519973,2.389064583235056,2.388428932064198,2.3882603866754977,2.38578171215523,mixed
