,restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4
0,1,16,21,4.39,1.07,1.163e-05,0.99,2.35,[56],"[51, 52, 53]",5.0,2.6547759807582816,2.640470747666863,2.6391954712700176,2.736065443976977,2.6234393922465067,2.644822721089994
1,2,16,23,3.2,2.77,1.25e-06,0.56,3.41,[56],"[57, 58, 59]",4.0,3.0396908073071716,3.0269890662967747,2.9129149504577976,3.019243220096292,3.0807352178884533,3.2112747809587185
2,3,9,21,3.7,1.07,6.09e-06,0.99,2.62,[42],"[51, 52, 53]",8.0,3.8316594865541544,3.518900783259291,4.328079439030379,4.05233804583031,3.7309645839597065,3.8552345243347186
3,4,9,8,3.7,1.92,6.73e-06,0.98,2.58,[42],"[40, 41]",3.0,2.4283464556003205,2.432267527341864,2.431876886626076,2.4237861497809785,2.423915929451142,2.4299881775614547
4,5,9,10,3.7,2.16,1.46e-06,0.98,3.32,[42],[44],3.0,2.4716577142367515,2.4718774547975357,2.5055266407027297,2.4792300752221235,2.4550178660965787,2.4494017581127934
5,6,9,10,3.7,1.48,4.74e-06,0.99,2.73,[42],[44],3.0,2.4716577142367515,2.4718774547975357,2.5055266407027297,2.4792300752221235,2.4550178660965787,2.4494017581127934
6,7,9,8,3.7,1.2,4.56e-06,0.91,2.75,[42],"[40, 41]",3.0,2.4283464556003205,2.432267527341864,2.431876886626076,2.4237861497809785,2.423915929451142,2.4299881775614547
7,8,11,14,3.79,3.26,2.192e-05,0.87,2.12,"[45, 46]",[50],5.0,2.3764339703040216,2.351931737547288,2.4166410284319677,2.40193908607348,2.365844217124761,2.35107362458996
8,9,10,11,2.16,3.79,5.44e-06,0.85,2.67,[44],"[45, 46]",3.0,2.6259183969538356,2.6356908165401722,2.6064982391014926,2.6157569062583153,2.6268244470326376,2.646134251340979
9,10,7,8,1.71,1.2,3.42e-06,0.9,2.88,[38],"[40, 41]",3.0,2.4698732961923127,2.472941583964638,2.4733018079010307,2.466908682139723,2.465893806138793,2.4703858982901976
10,11,5,7,4.03,1.71,1.03e-06,0.99,3.52,[62],[38],4.0,3.7669628680028078,3.767406289662552,3.763873301348757,3.7616201617620515,3.7733989047375522,3.7685921516002874
11,12,7,19,1.91,3.21,2.15e-06,0.93,3.11,[38],"[34, 35, 36]",5.0,2.7595782998084175,2.767595090710963,2.7712245730611333,2.752752591117199,2.745454200154051,2.761436402538834
12,13,15,22,3.41,3.22,1.43e-06,0.93,3.33,[54],"[66, 67, 68]",4.0,2.6088876027179557,2.606618982121773,2.6087766958652243,2.6152680089783544,2.60385619090087,2.610015174362832
13,14,15,21,3.41,1.07,7.67e-06,0.93,2.52,[54],"[51, 52, 53]",4.0,3.0118694898582596,2.972731593213229,3.140299974502997,3.077562214745244,2.9619858669046337,2.939965456569113
14,15,4,6,4.14,3.35,4.51e-06,0.93,2.75,[60],[37],4.0,2.5208751756953847,2.5209874457197694,2.567608045300264,2.502445295246622,2.4972762786139864,2.5202216448014174
15,16,5,6,4.03,3.35,2.82e-06,0.8,2.98,[62],[37],3.0,2.3846191994813495,2.3827337861307294,2.3868236045801345,2.3856941899777917,2.3840896249882344,2.3837702997005024
