,restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4,ring_classification
0,1,16,21,4.39,1.07,1.163e-05,0.99,2.35,[55],"[51, 52, 53]",5.0,4.675515379692826,4.668342940471468,4.649850810722496,4.688309686894438,4.681859183212779,4.690062086604901,mixed
1,2,16,23,3.2,2.77,1.25e-06,0.56,3.41,[55],"[57, 58, 59]",4.0,2.5653793487591976,2.5654490446538625,2.573952921055703,2.561927855837636,2.5627684301075315,2.5629317290082994,mixed
2,3,9,21,3.7,1.07,6.09e-06,0.99,2.62,[42],"[51, 52, 53]",8.0,3.2650159817259574,3.1005747236256265,3.188459568262973,3.30171368137325,3.5562317360834603,3.2933740537395444,mixed
3,4,9,8,3.7,1.92,6.73e-06,0.98,2.58,[42],"[40, 41]",3.0,2.4710072300264145,2.5091851301218453,2.5162211879550185,2.4613596916706357,2.434586542811432,2.441764761400166,mixed
4,5,9,10,3.7,2.16,1.46e-06,0.98,3.32,[42],[44],3.0,2.478784421004016,2.458572854710533,2.4621452718693697,2.482640816682845,2.500031231849826,2.4924223788345112,macrocycle
5,6,9,10,3.7,1.48,4.74e-06,0.99,2.73,[42],[44],3.0,2.478784421004016,2.458572854710533,2.4621452718693697,2.482640816682845,2.500031231849826,2.4924223788345112,macrocycle
6,7,9,8,3.7,1.2,4.56e-06,0.91,2.75,[42],"[40, 41]",3.0,2.4710072300264145,2.5091851301218453,2.5162211879550185,2.4613596916706357,2.434586542811432,2.441764761400166,mixed
7,8,11,14,3.79,3.26,2.192e-05,0.87,2.12,"[45, 46]",[50],5.0,2.3923999785115524,2.3758020850997656,2.3797690596568546,2.396578386190692,2.4119691560555996,2.3991687359468514,macrocycle
8,9,10,11,2.16,3.79,5.44e-06,0.85,2.67,[44],"[45, 46]",3.0,2.6789698418588195,2.748394190940412,2.7452692379940102,2.6657795040582988,2.614682177059793,2.640047278937221,macrocycle
9,10,7,8,1.71,1.2,3.42e-06,0.9,2.88,[38],"[40, 41]",3.0,2.516180515294384,2.5404288702251154,2.547354107050899,2.508894230742719,2.4909093734134196,2.496934641420763,extracyclic
10,11,5,7,4.03,1.71,1.03e-06,0.99,3.52,[62],[38],4.0,3.753827753708598,3.780199243862983,3.7895024325264757,3.7461809429521606,3.7267937255865204,3.7295641347393382,mixed
11,12,7,19,1.91,3.21,2.15e-06,0.93,3.11,[38],"[34, 35, 36]",5.0,2.9249892730168057,3.038710046324785,3.050002690886424,2.895613265442665,2.838346066963015,2.850879090452848,extracyclic
12,13,15,22,3.41,3.22,1.43e-06,0.93,3.33,[54],"[66, 67, 68]",4.0,2.6004480570185895,2.599254856212674,2.5983602248038187,2.6025507254897513,2.5999207803577136,2.6021718005858814,mixed
13,14,15,21,3.41,1.07,7.67e-06,0.93,2.52,[54],"[51, 52, 53]",4.0,2.835245191343035,2.8359784082694404,2.8380234358056633,2.8295877841426833,2.840987968325886,2.8317538386166907,mixed
14,15,4,6,4.14,3.35,4.51e-06,0.93,2.75,[60],[37],4.0,2.6359635140579396,2.7574360843812302,2.777509953939941,2.6094959492436716,2.539091915611886,2.559953051578481,mixed
15,16,5,6,4.03,3.35,2.82e-06,0.8,2.98,[62],[37],3.0,2.385572654052122,2.3729031350182437,2.3703636798348056,2.388935116736424,2.4006498111683654,2.3961008571058158,mixed
