,restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4,ring_classification
0,1,16,21,4.39,1.07,1.163e-05,0.99,2.35,[56],"[51, 52, 53]",5.0,2.693345056057713,2.6962207735530486,2.6891131622842197,2.6772621772750194,2.7154156360504196,2.6897256728559342,mixed
1,2,16,23,3.2,2.77,1.25e-06,0.56,3.41,[56],"[57, 58, 59]",4.0,2.81323468275143,2.7597683419850365,2.788012147970645,2.813134903994569,2.868586158738208,2.8461549823234593,mixed
2,3,9,21,3.7,1.07,6.09e-06,0.99,2.62,[42],"[51, 52, 53]",8.0,3.502074470236962,3.53347455272358,3.546962230629962,3.4404149341371975,3.4973729901379738,3.4990733150932503,mixed
3,4,9,8,3.7,1.92,6.73e-06,0.98,2.58,[42],"[40, 41]",3.0,2.5315205906685767,2.5763310246182227,2.553522604559359,2.535668582948622,2.52701428533654,2.473395166526579,mixed
4,5,9,10,3.7,2.16,1.46e-06,0.98,3.32,[42],[44],3.0,2.62854495987135,2.684300415682865,2.66166763732858,2.63580803205853,2.6223049614366447,2.5524428259842837,macrocycle
5,6,9,10,3.7,1.48,4.74e-06,0.99,2.73,[42],[44],3.0,2.62854495987135,2.684300415682865,2.66166763732858,2.63580803205853,2.6223049614366447,2.5524428259842837,macrocycle
6,7,9,8,3.7,1.2,4.56e-06,0.91,2.75,[42],"[40, 41]",3.0,2.5315205906685767,2.5763310246182227,2.553522604559359,2.535668582948622,2.52701428533654,2.473395166526579,mixed
7,8,11,14,3.79,3.26,2.192e-05,0.87,2.12,"[45, 46]",[50],5.0,2.422846250248612,2.543761207692328,2.438910782913587,2.383114908482024,2.4183972908094877,2.357965322438256,macrocycle
8,9,10,11,2.16,3.79,5.44e-06,0.85,2.67,[44],"[45, 46]",3.0,2.5675600417543047,2.542893997009682,2.554834217741419,2.5755511077937774,2.572967037386462,2.5936584862139145,macrocycle
9,10,7,8,1.71,1.2,3.42e-06,0.9,2.88,[38],"[40, 41]",3.0,2.573626326086474,2.603425636656561,2.5879813905595226,2.5745343809131738,2.5702911883322344,2.5354282809747626,extracyclic
10,11,5,7,4.03,1.71,1.03e-06,0.99,3.52,[62],[38],4.0,3.815287225441349,3.822150492329772,3.8204834941619605,3.8180704046011367,3.811764624827437,3.804167615666605,mixed
11,12,7,19,1.91,3.21,2.15e-06,0.93,3.11,[38],"[34, 35, 36]",5.0,3.026291213454174,3.208585207426376,3.102259869285681,3.023627814121639,3.0177332357782944,2.8572611125592684,extracyclic
12,13,15,22,3.41,3.22,1.43e-06,0.93,3.33,[54],"[66, 67, 68]",4.0,2.5332350423660746,2.5328694688596034,2.531819958455479,2.5307923268584425,2.5311109346016467,2.5396565817711814,mixed
13,14,15,21,3.41,1.07,7.67e-06,0.93,2.52,[54],"[51, 52, 53]",4.0,3.1399850049936866,3.1702662285552217,3.181524737907507,3.114881452627637,3.1133271549893577,3.1245755882275867,mixed
14,15,4,6,4.14,3.35,4.51e-06,0.93,2.75,[60],[37],4.0,2.817387071895767,2.9512795039643516,2.878657506840176,2.8056834537349884,2.788525426192787,2.70551011124938,mixed
15,16,5,6,4.03,3.35,2.82e-06,0.8,2.98,[62],[37],3.0,2.3961648164832283,2.390519867633376,2.3907562222144643,2.396049402452599,2.3941338025316234,2.409725265556331,mixed
