,restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4,ring_classification
0,1,7,8,2.07,1.33,0.00011255,0.99,2.1,[38],"[40, 41]",3.0,2.4628025815616033,2.4641435701630345,2.4622626404823302,2.462156325791385,2.4628186911103294,2.4626352807927003,extracyclic
1,2,7,8,1.81,1.33,3.872e-05,0.98,2.51,[38],"[40, 41]",3.0,2.4628025815616033,2.4641435701630345,2.4622626404823302,2.462156325791385,2.4628186911103294,2.4626352807927003,extracyclic
2,3,7,10,1.81,2.37,4.808e-05,0.99,2.42,[38],[44],5.0,4.313400472009228,4.3323456481117235,4.306550325476471,4.288345810806859,4.3255001281128,4.315224505934776,mixed
3,4,8,10,1.33,1.7,4.433e-05,0.99,2.45,"[40, 41]",[44],4.0,2.6547112224328915,2.6575759621242967,2.6537901098243117,2.645821406615952,2.655776645068715,2.660758443292004,mixed
4,5,10,20,1.7,2.94,2.733e-05,0.99,2.66,[44],"[48, 49, 47]",5.0,2.8118282086612743,2.8061775427899835,2.8369118482571354,2.832946162185413,2.800355572426589,2.785171913455345,mixed
5,6,24,23,7.61,2.87,5.97e-06,0.86,3.43,[65],"[57, 58, 59]",6.0,3.5872570286178345,3.638382069727845,3.6214806987251458,3.588831913153955,3.5280792668886862,3.5670611217354056,mixed
6,7,6,7,3.62,2.07,5.931e-05,0.97,2.34,[37],[38],3.0,2.527799949841147,2.5282913351164247,2.5293916168011235,2.52490611422332,2.5294655036837295,2.526965445292535,extracyclic
7,8,7,19,2.07,3.32,2.389e-05,0.95,2.72,[38],"[34, 35, 36]",5.0,2.746760783978353,2.7528128383995925,2.745654097786888,2.7418418338466255,2.7481767405927227,2.7454022555094486,extracyclic
8,9,8,19,2.02,3.32,7.13e-06,0.95,3.33,"[40, 41]","[34, 35, 36]",6.0,4.028204554764936,4.032003441356673,4.021359152001101,4.015994942403345,4.045289133343513,4.0268125469896345,extracyclic
9,10,15,21,3.64,1.21,2.606e-05,0.85,2.68,[54],"[51, 52, 53]",4.0,2.946327747748168,2.9081061404614945,2.9652753048659326,3.0083549494180657,2.928897827731486,2.9283053755467248,mixed
10,11,6,7,3.62,1.81,3.819e-05,0.87,2.52,[37],[38],3.0,2.527799949841147,2.5282913351164247,2.5293916168011235,2.52490611422332,2.5294655036837295,2.526965445292535,extracyclic
11,12,16,21,4.51,1.21,3.828e-05,0.75,2.52,[55],"[51, 52, 53]",5.0,3.442865702541617,3.603573696567837,3.3605026417396204,3.245889348056115,3.4909060121982147,3.620989176027749,mixed
12,13,16,23,3.44,2.87,2.763e-05,0.99,2.66,[55],"[57, 58, 59]",4.0,2.9234460693599913,2.9002896225235943,2.847565750356043,2.873649095533297,3.0509349083580806,2.976578110622393,mixed
13,14,10,11,1.7,3.28,1.499e-05,0.84,2.94,[44],"[45, 46]",3.0,2.6128298276470656,2.6169668419137326,2.602884418387741,2.5981202330452597,2.614072775586749,2.633096903035141,macrocycle
