,restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4,ring_classification
0,1,7,8,2.07,1.33,0.00011255,0.99,2.1,[43],"[40, 41]",3.0,2.5147522596989735,2.506357718702421,2.506663399763806,2.5168992924399314,2.524332877918318,2.519867907453534,extracyclic
1,2,7,8,1.81,1.33,3.872e-05,0.98,2.51,[43],"[40, 41]",3.0,2.5147522596989735,2.506357718702421,2.506663399763806,2.5168992924399314,2.524332877918318,2.519867907453534,extracyclic
2,3,7,10,1.81,2.37,4.808e-05,0.99,2.42,[43],[35],5.0,4.462447765930905,4.4204765720237145,4.471668677564024,4.459661653383234,4.486527060695828,4.4759852120646775,mixed
3,4,8,10,1.33,1.7,4.433e-05,0.99,2.45,"[40, 41]",[35],4.0,2.707771436865457,2.705187928599862,2.7160172748989293,2.706797821965342,2.7032281683503356,2.7077498454928643,mixed
4,5,10,20,1.7,2.94,2.733e-05,0.99,2.66,[35],"[27, 28, 29]",5.0,3.2159086488078485,3.2582678227479835,3.055819986677899,3.2822177492956635,3.2885718475715087,3.239134001183978,mixed
5,6,24,23,7.61,2.87,5.97e-06,0.86,3.43,[61],"[4, 5, 6]",6.0,3.572524286482017,3.5746398637343164,3.698565959177758,3.587989031614405,3.55789215550491,3.4694543476536923,mixed
6,7,6,7,3.62,2.07,5.931e-05,0.97,2.34,[51],[43],3.0,2.638374546723638,2.6153793231574545,2.6179679866285763,2.6415192308497746,2.663332199177764,2.656188586720032,extracyclic
7,8,7,19,2.07,3.32,2.389e-05,0.95,2.72,[43],"[48, 49, 50]",5.0,2.925951481958533,2.8926230183868364,2.901524715380686,2.933520792316912,2.9604740326472028,2.945619458631961,extracyclic
8,9,8,19,2.02,3.32,7.13e-06,0.95,3.33,"[40, 41]","[48, 49, 50]",6.0,4.391573059607564,4.343636155225131,4.347726824695406,4.416457079211555,4.430417559922704,4.425655508319022,extracyclic
9,10,15,21,3.64,1.21,2.606e-05,0.85,2.68,[16],"[19, 20, 21]",4.0,3.205831813337261,3.281002174244087,3.0026070521485,3.272354407839708,3.2659521930861612,3.2811606161803635,mixed
10,11,6,7,3.62,1.81,3.819e-05,0.87,2.52,[51],[43],3.0,2.638374546723638,2.6153793231574545,2.6179679866285763,2.6415192308497746,2.663332199177764,2.656188586720032,extracyclic
11,12,16,21,4.51,1.21,3.828e-05,0.75,2.52,[9],"[19, 20, 21]",5.0,2.9363634941166143,2.9370464643945016,3.061955769389063,2.9643552613692457,2.845271284323771,2.903077871003047,mixed
12,13,16,23,3.44,2.87,2.763e-05,0.99,2.66,[9],"[4, 5, 6]",4.0,2.7719955405292107,2.780999110694925,2.902054866170765,2.7510986445319094,2.7296270694268028,2.7215441351941716,mixed
13,14,10,11,1.7,3.28,1.499e-05,0.84,2.94,[35],"[31, 32]",3.0,2.5086596919819195,2.4941926969637764,2.5533092810936706,2.49579820669458,2.4973789664055674,2.505993950856486,macrocycle
