,restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4,ring_classification
0,1,7,8,2.07,1.33,0.00011255,0.99,2.1,[38],"[40, 41]",3.0,2.463927948510849,2.46280227644174,2.4623651930905095,2.4646714384487214,2.4644759484980314,2.4653341789050525,extracyclic
1,2,7,8,1.81,1.33,3.872e-05,0.98,2.51,[38],"[40, 41]",3.0,2.463927948510849,2.46280227644174,2.4623651930905095,2.4646714384487214,2.4644759484980314,2.4653341789050525,extracyclic
2,3,7,10,1.81,2.37,4.808e-05,0.99,2.42,[38],[44],5.0,4.284149549376135,4.284321601050446,4.3000431717382055,4.244355612073641,4.317893197853077,4.276622503693662,mixed
3,4,8,10,1.33,1.7,4.433e-05,0.99,2.45,"[40, 41]",[44],4.0,2.6460798075687735,2.6434978206297526,2.652852625106599,2.634087684222502,2.6566826515787727,2.6436945712317983,mixed
4,5,10,20,1.7,2.94,2.733e-05,0.99,2.66,[44],"[48, 49, 47]",5.0,2.859769385708199,2.873470664627089,2.8368059086313706,2.8461422513104067,2.8501323501235976,2.894997221584937,mixed
5,6,24,23,7.61,2.87,5.97e-06,0.86,3.43,[65],"[57, 58, 59]",6.0,3.6306123626816955,3.6616524020327295,3.6522708442139926,3.62481177435178,3.5979440051581135,3.6189546909235473,mixed
6,7,6,7,3.62,2.07,5.931e-05,0.97,2.34,[37],[38],3.0,2.5278949567109783,2.5242669893453513,2.526470366751956,2.5280761241920273,2.5321894713018245,2.528518943721489,extracyclic
7,8,7,19,2.07,3.32,2.389e-05,0.95,2.72,[38],"[34, 35, 36]",5.0,2.751960195749227,2.745153335058875,2.750154848005401,2.7599002086991358,2.7524906151507986,2.752245471496568,extracyclic
8,9,8,19,2.02,3.32,7.13e-06,0.95,3.33,"[40, 41]","[34, 35, 36]",6.0,4.038096618764543,4.012076269177953,4.021847020480356,4.058536889896644,4.047867033777134,4.051579980381841,extracyclic
9,10,15,21,3.64,1.21,2.606e-05,0.85,2.68,[54],"[51, 52, 53]",4.0,3.0505848498048476,3.0690009877211106,3.002296528637033,3.1471788370380036,2.9721474357620368,3.0841664800300967,mixed
10,11,6,7,3.62,1.81,3.819e-05,0.87,2.52,[37],[38],3.0,2.5278949567109783,2.5242669893453513,2.526470366751956,2.5280761241920273,2.5321894713018245,2.528518943721489,extracyclic
11,12,16,21,4.51,1.21,3.828e-05,0.75,2.52,[56],"[51, 52, 53]",5.0,2.671906559407941,2.6782779134605095,2.677803621684966,2.695123330172577,2.6444207552670367,2.66576248144745,mixed
12,13,16,23,3.44,2.87,2.763e-05,0.99,2.66,[56],"[57, 58, 59]",4.0,2.864063517452135,2.87589170608428,2.9191490680197822,2.819267116847966,2.9282727885469173,2.7949720475512403,mixed
13,14,10,11,1.7,3.28,1.499e-05,0.84,2.94,[44],"[45, 46]",3.0,2.57974309325306,2.5733307104150467,2.5952384844102476,2.5696200654533348,2.5968275449359846,2.564908253897715,macrocycle
