,restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4,ring_classification
0,1,7,8,2.07,1.33,0.00011255,0.99,2.1,[38],"[40, 41]",3.0,2.4645536230933995,2.4658960883639995,2.4634600866740413,2.4642243341009173,2.4631956032583338,2.4660020104522378,extracyclic
1,2,7,8,1.81,1.33,3.872e-05,0.98,2.51,[38],"[40, 41]",3.0,2.4645536230933995,2.4658960883639995,2.4634600866740413,2.4642243341009173,2.4631956032583338,2.4660020104522378,extracyclic
2,3,7,10,1.81,2.37,4.808e-05,0.99,2.42,[38],[44],5.0,4.340477281096439,4.330136579696293,4.34468283604721,4.354949374415299,4.332179796858944,4.340762080532319,mixed
3,4,8,10,1.33,1.7,4.433e-05,0.99,2.45,"[40, 41]",[44],4.0,2.6612194202317534,2.6513727554307396,2.6659804457732634,2.6662168252171394,2.6632877796368657,2.6594402176490552,mixed
4,5,10,20,1.7,2.94,2.733e-05,0.99,2.66,[44],"[48, 49, 47]",5.0,2.814170972569876,2.8237576239116136,2.8148734777359397,2.8009872129538764,2.816267321174858,2.8153090750832863,mixed
5,6,24,23,7.61,2.87,5.97e-06,0.86,3.43,[65],"[57, 58, 59]",6.0,3.5626512317460217,3.6425570107425127,3.571568633860978,3.5311022045360048,3.548683197586333,3.5277612471358353,mixed
6,7,6,7,3.62,2.07,5.931e-05,0.97,2.34,[37],[38],3.0,2.528902167122355,2.5323467443702756,2.526073107989384,2.5291564901013803,2.5244779403573396,2.532529471527064,extracyclic
7,8,7,19,2.07,3.32,2.389e-05,0.95,2.72,[38],"[34, 35, 36]",5.0,2.7506024310471315,2.75437060060173,2.7457340436774773,2.7532136134395375,2.741421745798063,2.758516406285117,extracyclic
8,9,8,19,2.02,3.32,7.13e-06,0.95,3.33,"[40, 41]","[34, 35, 36]",6.0,4.020962089290146,4.019147752937729,4.0153016561981385,4.0395728857588304,3.996983822196757,4.03480685108529,extracyclic
9,10,15,21,3.64,1.21,2.606e-05,0.85,2.68,[54],"[51, 52, 53]",4.0,2.9099116101315055,2.940053704885294,2.911501098924951,2.8985436144507126,2.900230542635681,2.9006698284030796,mixed
10,11,6,7,3.62,1.81,3.819e-05,0.87,2.52,[37],[38],3.0,2.528902167122355,2.5323467443702756,2.526073107989384,2.5291564901013803,2.5244779403573396,2.532529471527064,extracyclic
11,12,16,21,4.51,1.21,3.828e-05,0.75,2.52,[55],"[51, 52, 53]",5.0,3.584221952390525,3.3711142057169674,3.607291835509983,3.6747910681270683,3.659910758084669,3.6825403710132782,mixed
12,13,16,23,3.44,2.87,2.763e-05,0.99,2.66,[55],"[57, 58, 59]",4.0,2.8675210074203594,2.7914114704084203,2.925429026714841,2.9112316256216935,2.856670798990613,2.8667329181471377,mixed
13,14,10,11,1.7,3.28,1.499e-05,0.84,2.94,[44],"[45, 46]",3.0,2.618247207065255,2.6008333836305435,2.6236940401877455,2.630143683445623,2.61846237646229,2.6187419630190316,macrocycle
