,restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4,ring_classification
0,1,7,8,2.07,1.33,0.00011255,0.99,2.1,[38],"[40, 41]",3.0,2.4752862260165815,2.480864416988398,2.468135531947117,2.474749424418816,2.4753101205662706,2.4774955251881607,extracyclic
1,2,7,8,1.81,1.33,3.872e-05,0.98,2.51,[38],"[40, 41]",3.0,2.4752862260165815,2.480864416988398,2.468135531947117,2.474749424418816,2.4753101205662706,2.4774955251881607,extracyclic
2,3,7,10,1.81,2.37,4.808e-05,0.99,2.42,[38],[44],5.0,4.350995839091148,4.3624664821638,4.31421411289737,4.320159528770872,4.373304073084932,4.38832357794208,mixed
3,4,8,10,1.33,1.7,4.433e-05,0.99,2.45,"[40, 41]",[44],4.0,2.6992714402827023,2.713118676972748,2.677998379634901,2.6755813227815004,2.7119876770885547,2.7200145753650413,mixed
4,5,10,20,1.7,2.94,2.733e-05,0.99,2.66,[44],"[48, 49, 47]",5.0,2.9061273396009395,2.9181846968532894,2.88421561816108,2.9087299316898023,2.9075948056794667,2.912737919570956,mixed
5,6,24,23,7.61,2.87,5.97e-06,0.86,3.43,[65],"[57, 58, 59]",6.0,4.215572469794926,4.230329767012688,4.401639687380884,4.402749598930581,4.220797022834688,3.946311475455846,mixed
6,7,6,7,3.62,2.07,5.931e-05,0.97,2.34,[37],[38],3.0,2.545272660551012,2.555198351530091,2.5256396346329812,2.5467514411209864,2.5460204083850795,2.5535252978212974,extracyclic
7,8,7,19,2.07,3.32,2.389e-05,0.95,2.72,[38],"[34, 35, 36]",5.0,2.806423548693409,2.823359293178812,2.7802281227311743,2.802514327294584,2.8110549155322233,2.81635835709635,extracyclic
8,9,8,19,2.02,3.32,7.13e-06,0.95,3.33,"[40, 41]","[34, 35, 36]",6.0,3.9683389210559357,3.998523866753941,3.9168666016167792,3.966453822118261,3.977791368508401,3.9856079321036337,extracyclic
9,10,15,21,3.64,1.21,2.606e-05,0.85,2.68,[54],"[51, 52, 53]",4.0,2.824937508711642,2.8329226851055584,2.8262673691896416,2.8310332380319423,2.82320987473717,2.8116074049121185,mixed
10,11,6,7,3.62,1.81,3.819e-05,0.87,2.52,[37],[38],3.0,2.545272660551012,2.555198351530091,2.5256396346329812,2.5467514411209864,2.5460204083850795,2.5535252978212974,extracyclic
11,12,16,21,4.51,1.21,3.828e-05,0.75,2.52,[56],"[51, 52, 53]",5.0,4.48520772273974,4.677615134333905,4.620614508787417,4.851059296161408,4.614701294180317,4.023671254516557,mixed
12,13,16,23,3.44,2.87,2.763e-05,0.99,2.66,[56],"[57, 58, 59]",4.0,3.4253035551111086,3.4210465649690525,3.454021728078718,3.4464714500216456,3.4139675518000123,3.393496092273907,mixed
13,14,10,11,1.7,3.28,1.499e-05,0.84,2.94,[44],"[45, 46]",3.0,2.6095943137676185,2.62038487918909,2.5758244039264326,2.5845658484802425,2.6218732465266825,2.6502513872462243,macrocycle
