,restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4,ring_classification
0,1,7,8,2.07,1.33,0.00011255,0.99,2.1,[38],"[40, 41]",3.0,2.4994553152747705,2.5073873298123734,2.4950330761568846,2.4941322267564945,2.505101668382852,2.4958398080274944,extracyclic
1,2,7,8,1.81,1.33,3.872e-05,0.98,2.51,[38],"[40, 41]",3.0,2.4994553152747705,2.5073873298123734,2.4950330761568846,2.4941322267564945,2.505101668382852,2.4958398080274944,extracyclic
2,3,7,10,1.81,2.37,4.808e-05,0.99,2.42,[38],[44],5.0,4.40015864251729,4.436097525559031,4.425510292461677,4.399379892763432,4.371158969900321,4.371501501944035,mixed
3,4,8,10,1.33,1.7,4.433e-05,0.99,2.45,"[40, 41]",[44],4.0,2.7189007735317476,2.720274788907122,2.732608611548208,2.7271678355494733,2.700067770594639,2.7151961051184963,mixed
4,5,10,20,1.7,2.94,2.733e-05,0.99,2.66,[44],"[48, 49, 47]",5.0,2.6996881264562287,2.7131465667116252,2.6709965862607135,2.696241406436411,2.7068054785866345,2.71288406965379,mixed
5,6,24,23,7.61,2.87,5.97e-06,0.86,3.43,[65],"[57, 58, 59]",6.0,3.688801605289125,3.6589723762381516,3.6277583481995883,3.7135978118774684,3.7302385982110264,3.7211244706049076,mixed
6,7,6,7,3.62,2.07,5.931e-05,0.97,2.34,[37],[38],3.0,2.5447624882917625,2.5607065477516007,2.53679827644894,2.530604396908756,2.559668631094884,2.537127973899596,extracyclic
7,8,7,19,2.07,3.32,2.389e-05,0.95,2.72,[38],"[34, 35, 36]",5.0,2.739547671967774,2.7653899943334843,2.7285923908622878,2.716654871074369,2.762556352051671,2.7270792208233563,extracyclic
8,9,8,19,2.02,3.32,7.13e-06,0.95,3.33,"[40, 41]","[34, 35, 36]",6.0,4.003118721493328,4.0460220757842364,3.994282034874156,3.960775606629365,4.024735154924727,3.993508745182423,extracyclic
9,10,15,21,3.64,1.21,2.606e-05,0.85,2.68,[54],"[51, 52, 53]",4.0,2.8737631663775582,2.861485417203813,2.869353063489962,2.8675691354790334,2.901814919121182,2.8698029225848676,mixed
10,11,6,7,3.62,1.81,3.819e-05,0.87,2.52,[37],[38],3.0,2.5447624882917625,2.5607065477516007,2.53679827644894,2.530604396908756,2.559668631094884,2.537127973899596,extracyclic
11,12,16,21,4.51,1.21,3.828e-05,0.75,2.52,[55],"[51, 52, 53]",5.0,3.860938077916453,4.020412333129858,3.8326704359192116,3.8988356687180254,3.637020479412425,4.010319526395282,mixed
12,13,16,23,3.44,2.87,2.763e-05,0.99,2.66,[55],"[57, 58, 59]",4.0,2.6790526899555593,2.683700775971611,2.6693055496217077,2.686164458947895,2.6666065104262864,2.6900668686163036,mixed
13,14,10,11,1.7,3.28,1.499e-05,0.84,2.94,[44],"[45, 46]",3.0,2.6337326955908624,2.6386789891062983,2.653352760707235,2.6289116937755477,2.628823588913474,2.619756871671367,macrocycle
