,restraint_number,atom_type,proton_a,proton_b,delta_a,delta_b,sigma,R2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4
0,1,CHCH,12,18,6.81,4.78,8.3456e-05,0.97,1.91,[92],[81],5.0,2.066270602545316,2.071954864879664,2.074513465434914,2.059413798422334,2.0633811820327708,2.0623782455866198
1,2,CH2CH,31'',26,3.06,1.9,5.9284e-06,0.95,2.97,[61],[56],4.0,2.778221332834352,2.8069811180592397,2.749786692131602,2.838934753788881,2.7614122698450494,2.742467771333188
2,3,CH2CH3,25'',30,3.68,0.62,2.9543e-05,1.0,2.28,[54],"[57, 58, 59]",4.0,2.825959719186843,2.8264141341128033,2.815171036551547,2.8277976165667527,2.831803672497783,2.8288143372808046
3,4,CHCH,25',26,3.12,1.9,1.1358e-05,0.97,2.67,[55],[56],3.0,2.5344597177834283,2.5318843726434617,2.5475246615816527,2.5337476111903183,2.527831245621484,2.531625328405725
4,5,CHCH2,27,26,3.51,1.9,2.2456e-05,0.99,2.38,[60],[56],3.0,2.404871321147993,2.4042422063481306,2.404597135073993,2.4063552948658367,2.4044697071053487,2.4046964273240383
5,6,CHCH,27,29',3.51,3.32,3.7937e-05,0.98,2.18,[60],[74],4.0,2.2107464218045716,2.2015412789369444,2.212455291059598,2.212655771721522,2.21346003790639,2.2137920060605447
6,7,CHCH2,29',20',3.32,1.58,1.046e-05,0.97,2.71,[74],[80],5.0,2.2694207640602033,2.250604099196231,2.2730563614934365,2.284983861534787,2.2737395560971225,2.2657153082860306
7,8,CH2CH2,27,31'',3.51,3.06,1.1323e-05,0.95,2.67,[60],[61],3.0,2.773098007857441,2.7805463715774774,2.7579289815067347,2.8138117085496415,2.7694865704502005,2.746992194113276
8,9,CH2CH,9,11,8.95,7.72,1.5678e-05,0.99,2.53,[86],[91],4.0,2.41370379304757,2.3624415379708346,2.422254341493777,2.482504635508647,2.406556749722754,2.405451902797972
9,10,CHCH,31'',30,3.06,0.62,1.1443e-05,0.96,2.67,[61],"[57, 58, 59]",5.0,2.706690017691317,2.700955696637627,2.71033917884421,2.6823152634859957,2.7172102075619122,2.723999308176788
10,11,CH2CH3,26,47,1.9,1.47,4.0819e-06,0.99,3.17,[56],"[48, 49, 47]",6.0,4.362863470716863,4.591211693093248,4.085271638783883,4.352817244222931,4.500646082461486,4.410921831157858
11,12,CHCH3,25',47,3.12,1.47,6.3047e-06,0.95,2.94,[55],"[48, 49, 47]",5.0,3.2760801907010295,3.272938276209041,3.307314096279263,3.271187348460343,3.265547930030794,3.2647244349737052
12,13,CH2CH3,45'',47,3.73,1.47,8.3254e-06,0.96,2.81,[51],"[48, 49, 47]",4.0,3.827680733908717,3.869193712182863,3.707195561400117,3.8473794064872573,3.879742686782082,3.8542719001849655
12,13,CH2CH3,45'',47,3.73,1.47,8.3254e-06,0.96,2.81,[52],"[48, 49, 47]",4.0,3.0156535836989944,3.0118975339877263,3.0133045123636446,3.014748748156663,3.0191623312725353,3.0192074466856864
