,restraint_number,atom_type,proton_a,proton_b,delta_a,delta_b,sigma,R2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4,ring_classification
0,1,CHCH,12,18,6.81,4.78,8.3456e-05,0.97,1.91,[17],[52],5.0,2.0995543777850263,2.1346695984203152,2.0918009609683477,2.0914815734079517,2.0893078549571573,2.092940953809307,mixed
1,2,CH2CH,31'',26,3.06,1.9,5.9284e-06,0.95,2.97,[69],[41],4.0,2.809998167674448,2.856181566689937,2.7660927332399172,2.7701527941194937,2.8785311999850323,2.792034751280159,mixed
2,3,CH2CH3,25'',30,3.68,0.62,2.9543e-05,1.0,2.28,[42],"[40, 38, 39]",4.0,2.867239384980364,2.8510176072840014,2.8737619011925815,2.8709525446081936,2.8710817880170665,2.869803567097462,mixed
3,4,CHCH,25',26,3.12,1.9,1.1358e-05,0.97,2.67,[43],[41],3.0,2.5287716485968827,2.5403670882230585,2.5239830049247463,2.5258035243673245,2.524553445892839,2.529404443301393,macrocycle
4,5,CHCH2,27,26,3.51,1.9,2.2456e-05,0.99,2.38,[67],[41],3.0,2.40916670994878,2.4043621879665436,2.4057777125902615,2.4093453480359566,2.4150306574306795,2.411425177420184,macrocycle
5,6,CHCH,27,29',3.51,3.32,3.7937e-05,0.98,2.18,[67],[64],4.0,2.2522003594727593,2.266339098781005,2.2492936836924415,2.2458397868420183,2.2484956088823873,2.251437999291168,macrocycle
6,7,CHCH2,29',20',3.32,1.58,1.046e-05,0.97,2.71,[64],[55],5.0,2.298993715190546,2.3358060173608055,2.2965648450389273,2.281273490523261,2.304288773234882,2.2801080964474068,macrocycle
7,8,CH2CH2,27,31'',3.51,3.06,1.1323e-05,0.95,2.67,[67],[69],3.0,2.7991500572342516,2.824536582408486,2.7734860751037975,2.77485865034695,2.847380086945381,2.7810707331483364,mixed
8,9,CH2CH,9,11,8.95,7.72,1.5678e-05,0.99,2.53,[13],[18],4.0,3.302182531501821,3.249407540830027,3.3001357426107014,3.336763085931679,3.3161267991471863,3.3131290221932916,extracyclic
9,10,CHCH,31'',30,3.06,0.62,1.1443e-05,0.96,2.67,[69],"[40, 38, 39]",5.0,2.724665978162879,2.700423292735354,2.734526898434302,2.741864677901877,2.7011975666590664,2.7479956045671763,mixed
10,11,CH2CH3,26,47,1.9,1.47,4.0819e-06,0.99,3.17,[41],"[26, 27, 28]",6.0,4.727442663055845,4.452525316838553,4.8170451292886245,4.818944032431965,4.831952781374562,4.8062433617120774,mixed
11,12,CHCH3,25',47,3.12,1.47,6.3047e-06,0.95,2.94,[43],"[26, 27, 28]",5.0,3.404311382578178,3.439694043039046,3.3912700743355546,3.3890833619441345,3.4003969537675225,3.402800837206679,mixed
12,13,CH2CH3,45'',47,3.73,1.47,8.3254e-06,0.96,2.81,[32],"[26, 27, 28]",4.0,3.835329477716124,3.771186128443676,3.844176419641578,3.8295697454870865,3.857457661626602,3.8805352826486743,extracyclic
12,13,CH2CH3,45'',47,3.73,1.47,8.3254e-06,0.96,2.81,[33],"[26, 27, 28]",4.0,2.9994057585909806,2.997683603418359,3.0009448323741834,2.9987381890157683,3.002651118204743,2.9970366149437315,extracyclic
