,restraint_number,atom_type,proton_a,proton_b,delta_a,delta_b,sigma,R2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4,ring_classification
0,1,CHCH,12,18,6.81,4.78,8.3456e-05,0.97,1.91,[92],[81],5.0,2.084468146599247,2.1974001734813866,2.066213094128964,2.0607274466709584,2.059377314232405,2.0608866141199793,mixed
1,2,CH2CH,31'',26,3.06,1.9,5.9284e-06,0.95,2.97,[61],[56],4.0,2.7672225595630002,2.8252070258982656,2.8170723999038323,2.7206931755271158,2.8146684376055715,2.681261154668497,mixed
2,3,CH2CH3,25'',30,3.68,0.62,2.9543e-05,1.0,2.28,[54],"[57, 58, 59]",4.0,2.812088881232409,2.7537742891444026,2.8258924958939167,2.8291954189524104,2.8242648436932525,2.833109317681935,mixed
3,4,CHCH,25',26,3.12,1.9,1.1358e-05,0.97,2.67,[55],[56],3.0,2.5435365330546804,2.5970496979723983,2.531983434047726,2.531206105429039,2.5361374892351387,2.5259430868969064,macrocycle
4,5,CHCH2,27,26,3.51,1.9,2.2456e-05,0.99,2.38,[60],[56],3.0,2.406948455484458,2.4101429691945357,2.4126117642901277,2.402396045326246,2.4107566900733834,2.3990390032356537,macrocycle
5,6,CHCH,27,29',3.51,3.32,3.7937e-05,0.98,2.18,[60],[74],4.0,2.2124531626129795,2.2195615131219193,2.200847089531096,2.209448963804693,2.219939287438342,2.2128667823528514,macrocycle
6,7,CHCH2,29',20',3.32,1.58,1.046e-05,0.97,2.71,[74],[79],5.0,3.1946382543258496,3.238022012515574,3.170881376576731,3.173998221911891,3.2172151872782635,3.1770613619121564,macrocycle
7,8,CH2CH2,27,31'',3.51,3.06,1.1323e-05,0.95,2.67,[60],[61],3.0,2.752205619422247,2.746173620789918,2.8080109353193015,2.7235129253612067,2.8056142052104196,2.6910891445111855,mixed
8,9,CH2CH,9,11,8.95,7.72,1.5678e-05,0.99,2.53,[86],[91],4.0,2.973223588223916,2.8847868708984197,2.896166902131967,3.0010362305568483,3.098682315617334,3.0232727775661,extracyclic
9,10,CHCH,31'',30,3.06,0.62,1.1443e-05,0.96,2.67,[61],"[57, 58, 59]",5.0,2.7212088026065606,2.7028413509778075,2.691127123968811,2.746641331591824,2.6947668263284283,2.777966301209859,mixed
10,11,CH2CH3,26,47,1.9,1.47,4.0819e-06,0.99,3.17,[56],"[48, 49, 47]",6.0,4.19134519896868,3.716624558554347,4.502310464198749,4.31882223068592,4.354376218732134,4.490409778712392,mixed
11,12,CHCH3,25',47,3.12,1.47,6.3047e-06,0.95,2.94,[55],"[48, 49, 47]",5.0,3.317231447821362,3.498929814046023,3.291478404298431,3.271014725187409,3.285808232464858,3.2752806872716866,mixed
12,13,CH2CH3,45'',47,3.73,1.47,8.3254e-06,0.96,2.81,[51],"[48, 49, 47]",4.0,3.7770315738299214,3.692702187552517,3.8004796605545637,3.772101946657676,3.816009351028804,3.813995042405267,extracyclic
12,13,CH2CH3,45'',47,3.73,1.47,8.3254e-06,0.96,2.81,[52],"[48, 49, 47]",4.0,3.0112979582283916,3.0041603788096056,3.008353531771678,3.016421353303607,3.013160484318661,3.0145100898919814,extracyclic
