,restraint_number,atom_type,proton_a,proton_b,delta_a,delta_b,sigma,R2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4,ring_classification
0,1,CHCH,12,18,6.81,4.78,8.3456e-05,0.97,1.91,[92],[81],5.0,2.063724352104448,2.067257443248774,2.061738582377601,2.064735639758048,2.0612048543900148,2.0637255526784974,mixed
1,2,CH2CH,31'',26,3.06,1.9,5.9284e-06,0.95,2.97,[61],[56],4.0,2.7107161170475975,2.6656122038561545,2.730080360977925,2.7585130875066657,2.6968430975240754,2.7088275970127933,mixed
2,3,CH2CH3,25'',30,3.68,0.62,2.9543e-05,1.0,2.28,[54],"[57, 58, 59]",4.0,2.83259429581583,2.822560028911156,2.8357671187441387,2.8358140870488597,2.8337764130974037,2.8352147872691957,mixed
3,4,CHCH,25',26,3.12,1.9,1.1358e-05,0.97,2.67,[55],[56],3.0,2.5297760099710214,2.540463799111304,2.529688503143568,2.5270732464881034,2.5256396155776657,2.526222616047973,macrocycle
4,5,CHCH2,27,26,3.51,1.9,2.2456e-05,0.99,2.38,[60],[56],3.0,2.4037876121372066,2.4050974832831935,2.4051144972613065,2.4041422381087534,2.400913021518357,2.403688142395976,macrocycle
5,6,CHCH,27,29',3.51,3.32,3.7937e-05,0.98,2.18,[60],[74],4.0,2.2186015077892924,2.2235257867063147,2.2124377027218918,2.216988725297346,2.2197710584369603,2.22039400097534,macrocycle
6,7,CHCH2,29',20',3.32,1.58,1.046e-05,0.97,2.71,[74],[80],5.0,2.2791476250263045,2.2811461443926957,2.277671518938228,2.2760734849404427,2.2781865558744925,2.2827052325415065,macrocycle
7,8,CH2CH2,27,31'',3.51,3.06,1.1323e-05,0.95,2.67,[60],[61],3.0,2.720866923662291,2.675482966393326,2.7377766601579108,2.7689756054645187,2.705887060369748,2.722484587954045,mixed
8,9,CH2CH,9,11,8.95,7.72,1.5678e-05,0.99,2.53,[86],[91],4.0,2.4067728542112237,2.42667535298179,2.404265400808435,2.3995879000094424,2.434227828373559,2.3725859677973333,extracyclic
9,10,CHCH,31'',30,3.06,0.62,1.1443e-05,0.96,2.67,[61],"[57, 58, 59]",5.0,2.747531847508477,2.7900050639821448,2.7342604228369636,2.7120937325015126,2.754764080450765,2.7507051416102795,mixed
10,11,CH2CH3,26,47,1.9,1.47,4.0819e-06,0.99,3.17,[56],"[48, 49, 47]",6.0,4.368133778934208,4.002327109027682,4.45976328687567,4.540242732874689,4.54852453960595,4.488434378978727,mixed
11,12,CHCH3,25',47,3.12,1.47,6.3047e-06,0.95,2.94,[55],"[48, 49, 47]",5.0,3.2610942101854774,3.2828665772441026,3.256619485326385,3.2517077706322417,3.2607333392801547,3.2542118419593202,mixed
12,13,CH2CH3,45'',47,3.73,1.47,8.3254e-06,0.96,2.81,[51],"[48, 49, 47]",4.0,3.8344145850600087,3.732445751385087,3.8601769609221694,3.866573920776774,3.8647397877853207,3.8613325320091816,extracyclic
12,13,CH2CH3,45'',47,3.73,1.47,8.3254e-06,0.96,2.81,[52],"[48, 49, 47]",4.0,3.0181186862262006,3.0121241267047605,3.0189798480995855,3.020158885333294,3.02164052606783,3.0177521114296995,extracyclic
