,restraint_number,atom_type,proton_a,proton_b,delta_a,delta_b,sigma,R2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4,ring_classification
0,1,CHCH,12,18,6.81,4.78,8.3456e-05,0.97,1.91,[92],[81],5.0,2.0657328024457473,2.0673959221908325,2.0657838576774736,2.064454804376365,2.064517860993638,2.0665225802651945,mixed
1,2,CH2CH,31'',26,3.06,1.9,5.9284e-06,0.95,2.97,[61],[56],4.0,3.090328290185046,2.9959295526613463,3.0982281654879014,3.123001673797143,3.1131331112902325,3.13646516384895,mixed
2,3,CH2CH3,25'',30,3.68,0.62,2.9543e-05,1.0,2.28,[54],"[57, 58, 59]",4.0,2.9300492887374756,2.9232752099093435,2.942190256265827,2.934432996000684,2.923982797375375,2.9266751958128823,mixed
3,4,CHCH,25',26,3.12,1.9,1.1358e-05,0.97,2.67,[55],[56],3.0,2.508937432182501,2.5125835107364196,2.5015622279644427,2.507550032675379,2.511211237028475,2.511897170936348,macrocycle
4,5,CHCH2,27,26,3.51,1.9,2.2456e-05,0.99,2.38,[60],[56],3.0,2.4097847530150847,2.4074799935865028,2.418250467098911,2.4080466142037618,2.4067825516174643,2.408494948359265,macrocycle
5,6,CHCH,27,29',3.51,3.32,3.7937e-05,0.98,2.18,[60],[74],4.0,2.226456004703216,2.2252081329608293,2.251404938987118,2.2281258807316515,2.2142762814026247,2.2146793677052017,macrocycle
6,7,CHCH2,29',20',3.32,1.58,1.046e-05,0.97,2.71,[74],[80],5.0,2.365237667130639,2.3600346829082337,2.422548698360992,2.3691101598308846,2.337524739945952,2.343485711147118,macrocycle
7,8,CH2CH2,27,31'',3.51,3.06,1.1323e-05,0.95,2.67,[60],[61],3.0,3.0006047173324384,2.931989403250323,3.0059840206223805,3.026733466418471,3.0139213820187587,3.0324029488031856,mixed
8,9,CH2CH,9,11,8.95,7.72,1.5678e-05,0.99,2.53,[86],[91],4.0,2.5153760245712675,2.577393420092285,2.5049359939280453,2.494419808921513,2.50904038069521,2.4974016980016716,extracyclic
9,10,CHCH,31'',30,3.06,0.62,1.1443e-05,0.96,2.67,[61],"[57, 58, 59]",5.0,2.673654522936324,2.7007492288082307,2.670774499580164,2.6629018681964416,2.6684183674227735,2.6666293026458976,mixed
10,11,CH2CH3,26,47,1.9,1.47,4.0819e-06,0.99,3.17,[56],"[48, 49, 47]",6.0,4.78431548835963,4.774416528227573,4.7887812487419925,4.787957834285959,4.785872343527669,4.784647660428545,mixed
11,12,CHCH3,25',47,3.12,1.47,6.3047e-06,0.95,2.94,[55],"[48, 49, 47]",5.0,3.3279143154373525,3.333830967120563,3.332125084718357,3.3240091026471212,3.324425146491211,3.3252727873747725,mixed
12,13,CH2CH3,45'',47,3.73,1.47,8.3254e-06,0.96,2.81,[51],"[48, 49, 47]",4.0,3.953116411048673,3.9542660290013614,3.955596728475765,3.9545250767832156,3.9445556510036734,3.9567236879500234,extracyclic
12,13,CH2CH3,45'',47,3.73,1.47,8.3254e-06,0.96,2.81,[52],"[48, 49, 47]",4.0,3.0686608126695845,3.0664670607088595,3.0670642340034924,3.0676308370564724,3.0741295631276815,3.0680563569541297,extracyclic
