,restraint_number,atom_type,proton_a,proton_b,delta_a,delta_b,sigma,R2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4,ring_classification
0,1,CHCH,12,18,6.81,4.78,8.3456e-05,0.97,1.91,[92],[81],5.0,2.1037203650704734,2.6462056398304905,2.120857325148113,2.0489892444867537,2.0120359467641906,2.009309908676116,mixed
1,2,CH2CH,31'',26,3.06,1.9,5.9284e-06,0.95,2.97,[61],[56],4.0,2.668198909813232,2.7647440288415344,2.7129394961555935,2.6673827095238196,2.609560589544022,2.6095896046872413,mixed
2,3,CH2CH3,25'',30,3.68,0.62,2.9543e-05,1.0,2.28,[54],"[57, 58, 59]",4.0,2.8209923553764646,2.6979075533415093,2.7938857658033007,2.8653890502173587,2.889453834366905,2.8945579221441013,mixed
3,4,CHCH,25',26,3.12,1.9,1.1358e-05,0.97,2.67,[55],[56],3.0,2.5767702351578543,2.81284315489615,2.612075826080276,2.5259922588367796,2.5115833199362045,2.5016017064852276,macrocycle
4,5,CHCH2,27,26,3.51,1.9,2.2456e-05,0.99,2.38,[60],[56],3.0,2.3838112783140493,2.3898289957264165,2.388730722693079,2.3831354086958307,2.3791892117695106,2.378336680528425,macrocycle
5,6,CHCH,27,29',3.51,3.32,3.7937e-05,0.98,2.18,[60],[74],4.0,2.1739229215090266,2.2213922967702904,2.1919572287031337,2.159340313058456,2.1517048849197784,2.151180705519849,macrocycle
6,7,CHCH2,29',20',3.32,1.58,1.046e-05,0.97,2.71,[74],[80],5.0,2.3883966357456505,2.776246420295405,2.550669384978057,2.3163207540179913,2.2602456240267372,2.278544013670616,macrocycle
7,8,CH2CH2,27,31'',3.51,3.06,1.1323e-05,0.95,2.67,[60],[61],3.0,2.5724896596047184,2.5438944320025874,2.553370407541846,2.6107367455726904,2.5704588493220246,2.587878216343831,mixed
8,9,CH2CH,9,11,8.95,7.72,1.5678e-05,0.99,2.53,[86],[91],4.0,2.8163832981636876,2.993721597386978,2.6864296653534536,2.7942346925336286,2.901237371386876,2.77465283643386,extracyclic
9,10,CHCH,31'',30,3.06,0.62,1.1443e-05,0.96,2.67,[61],"[57, 58, 59]",5.0,2.846405285180726,2.76395749950545,2.855809198979926,2.8302486082110008,2.9180145116552163,2.880792639776797,mixed
10,11,CH2CH3,26,47,1.9,1.47,4.0819e-06,0.99,3.17,[56],"[48, 49, 47]",6.0,3.839576475652633,3.365065609520096,3.64361878850553,4.134870011316184,4.427855613364879,4.557059439686854,mixed
11,12,CHCH3,25',47,3.12,1.47,6.3047e-06,0.95,2.94,[55],"[48, 49, 47]",5.0,3.2244119063483314,3.5535909541833206,3.2746445146239846,3.160037935124425,3.139851421144666,3.1154783537461044,mixed
12,13,CH2CH3,45'',47,3.73,1.47,8.3254e-06,0.96,2.81,[51],"[48, 49, 47]",4.0,3.841376637386843,3.6677422109293434,3.859910500514464,3.900792962098147,3.902512530859361,3.918937815392015,extracyclic
12,13,CH2CH3,45'',47,3.73,1.47,8.3254e-06,0.96,2.81,[52],"[48, 49, 47]",4.0,3.031580115065267,3.018544605819187,3.033479284915237,3.0326724563518628,3.0363010325642086,3.0371686863152836,extracyclic
