,restraint_number,atom_type,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4,ring_classification
0,1,CHCH,12,18,7.11,4.89,0.00032803,0.99,1.79,[92],[81],5.0,2.0636159279734816,2.068208545191979,2.0616967848941306,2.060884847416055,2.0618462600363716,2.0655091097827283,mixed
1,2,CHCH2,12,25',7.11,3.21,1.76e-06,0.96,4.27,[92],[54],7.0,4.223069719694489,4.25529663370673,4.2109831858849205,4.2140894450999475,4.208581258858297,4.2276235409126475,mixed
2,3,CHCH2,15,21'',7.38,1.36,7.9e-07,0.97,4.88,[85],[77],8.0,4.95932989894568,4.97447747069882,4.9499235697456445,4.95117427858774,4.942791106785129,4.979019090768232,mixed
2,3,CHCH2,15,21'',7.38,1.36,7.9e-07,0.97,4.88,[85],[78],8.0,6.392946460872136,6.406013053919355,6.379167019689894,6.400471950708299,6.383607031672351,6.395753925968693,mixed
3,4,CHCH2,11,21'',7.44,1.36,1.65e-06,0.98,4.31,[91],[77],8.0,4.155963834364098,4.187439115742381,4.1370988846554555,4.147979940716474,4.126012301811816,4.183878962905505,mixed
3,4,CHCH2,11,21'',7.44,1.36,1.65e-06,0.98,4.31,[91],[78],8.0,4.429380906124468,4.469356321868495,4.394012916672393,4.424064432098402,4.396640342025429,4.467056387027654,mixed
4,5,CHCH2,15,25',7.38,3.21,1.24e-06,0.98,4.52,[85],[54],6.0,3.8984055906344133,3.7827065039255796,3.9636825160070717,3.9572678259485454,3.9517906723663327,3.8600893942967445,mixed
5,6,CHCH2,12,21'',7.11,1.36,2.791e-05,0.99,2.69,[92],[77],7.0,2.931689352027486,2.9509082892136944,2.919180448347637,2.92705376924515,2.904125745288704,2.9596681356835712,mixed
5,6,CHCH2,12,21'',7.11,1.36,2.791e-05,0.99,2.69,[92],[78],7.0,2.8268231484267856,2.8524060748976323,2.797977286061583,2.8298740410109335,2.7956023847260116,2.8629208057113695,mixed
6,7,CHCH2,18,21'',4.89,1.36,2.166e-05,0.99,2.81,[81],[77],4.0,2.9693984329764778,2.931652442054726,2.99236096847211,2.9686880309734542,2.9970871730754607,2.960526174549036,macrocycle
