,restraint_number,atom_type,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4,ring_classification
0,1,CHCH,12,18,7.11,4.89,0.00032803,0.99,1.79,[92],[81],5.0,2.0658214589368393,2.0774754862637654,2.0657448969430714,2.060014483517916,2.062747721534238,2.063434718077953,mixed
1,2,CHCH2,12,25',7.11,3.21,1.76e-06,0.96,4.27,[92],[54],7.0,4.245395521665765,4.294670143557921,4.254702522263203,4.22710285091238,4.222113444378905,4.231298817245245,mixed
2,3,CHCH2,15,21'',7.38,1.36,7.9e-07,0.97,4.88,[85],[77],8.0,4.950516066370458,4.983973074686602,4.958390539984208,4.938307703512543,4.932092144625118,4.941049998355701,mixed
2,3,CHCH2,15,21'',7.38,1.36,7.9e-07,0.97,4.88,[85],[78],8.0,6.332664528829442,6.212913863163934,6.358265367565834,6.372760899898093,6.355997995685102,6.374194492226797,mixed
3,4,CHCH2,11,21'',7.44,1.36,1.65e-06,0.98,4.31,[91],[77],8.0,4.149799484989384,4.203092964171252,4.1586561688179,4.137287402436365,4.124250729227827,4.129148976507828,mixed
3,4,CHCH2,11,21'',7.44,1.36,1.65e-06,0.98,4.31,[91],[78],8.0,4.415387856387966,4.468230871678472,4.417226773184343,4.404397880055712,4.397531507957487,4.392473530638847,mixed
4,5,CHCH2,15,25',7.38,3.21,1.24e-06,0.98,4.52,[85],[54],6.0,3.7713308816343982,3.661504144989667,3.6753585192660063,3.8384806415576445,3.855793238913507,3.86461408357921,mixed
5,6,CHCH2,12,21'',7.11,1.36,2.791e-05,0.99,2.69,[92],[77],7.0,2.9329050147584383,2.9668231052088965,2.9419736279099324,2.925252003531486,2.915585206626613,2.91705820860358,mixed
5,6,CHCH2,12,21'',7.11,1.36,2.791e-05,0.99,2.69,[92],[78],7.0,2.8231968783264576,2.860028593750208,2.8268251094553682,2.8155075841305415,2.8115678588523956,2.804386379867179,mixed
6,7,CHCH2,18,21'',4.89,1.36,2.166e-05,0.99,2.81,[81],[77],4.0,2.9822587845396242,2.9895935358216326,2.968996077469867,2.9734188180040375,2.9912116018030703,2.9885778870631245,macrocycle
