,restraint_number,atom_type,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4
0,1,CHCH,12,18,7.11,4.89,0.00032803,0.99,1.79,[92],[81],5.0,2.0848374696584853,2.1694152031618623,2.0857522065019203,2.061108940602247,2.061306332081189,2.0603937940725334
1,2,CHCH2,12,25',7.11,3.21,1.76e-06,0.96,4.27,[92],[54],7.0,4.2517506318486555,4.35137961831214,4.2585585087632,4.212441170730645,4.232141287081903,4.2147357158031475
2,3,CHCH2,15,21'',7.38,1.36,7.9e-07,0.97,4.88,[85],[77],8.0,5.088442875312255,5.930640895635536,4.998663591894349,4.958137908918891,4.9736174146799,4.954788912154235
2,3,CHCH2,15,21'',7.38,1.36,7.9e-07,0.97,4.88,[85],[78],8.0,6.36641127812787,6.2174600577214285,6.432200731993899,6.38962127049571,6.406839559753474,6.403158383884982
3,4,CHCH2,11,21'',7.44,1.36,1.65e-06,0.98,4.31,[91],[77],8.0,4.286868119098173,5.374977904934629,4.203334265071075,4.149994283631412,4.170280127419313,4.145741456170816
3,4,CHCH2,11,21'',7.44,1.36,1.65e-06,0.98,4.31,[91],[78],8.0,4.550076588433148,5.510458450577705,4.469122698009937,4.399933517481365,4.434822161762167,4.4263489845491755
4,5,CHCH2,15,25',7.38,3.21,1.24e-06,0.98,4.52,[85],[54],6.0,3.827507981616,3.583423503122461,3.936547473749787,3.9764756281258884,3.811658418737975,3.9328287302336395
5,6,CHCH2,12,21'',7.11,1.36,2.791e-05,0.99,2.69,[92],[77],7.0,3.0185374515642875,3.7736618507588577,2.9610285768752025,2.919498318502332,2.9349447622874103,2.9239091478885646
5,6,CHCH2,12,21'',7.11,1.36,2.791e-05,0.99,2.69,[92],[78],7.0,2.9038785931848428,3.6000172334308065,2.8480707342547094,2.795426840724944,2.826871965083035,2.8290701143324712
6,7,CHCH2,18,21'',4.89,1.36,2.166e-05,0.99,2.81,[81],[77],4.0,2.9836879577817097,3.1117208653450317,2.9239446845225165,2.9929917185829877,2.948443570502986,2.9650054706849187
