,restraint_number,atom_type,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4,ring_classification
0,1,CHCH,12,18,7.11,4.89,0.00032803,0.99,1.79,[92],[81],5.0,2.1103912599711756,2.1796566834017566,2.1558076486342537,2.078203699888876,2.0832144128014978,2.071334969169778,mixed
1,2,CHCH2,12,25',7.11,3.21,1.76e-06,0.96,4.27,[92],[54],7.0,4.44381067113121,5.20794020386715,4.448704103968458,4.317337640258477,4.328833086752536,4.275248744447319,mixed
2,3,CHCH2,15,21'',7.38,1.36,7.9e-07,0.97,4.88,[85],[77],8.0,5.066086867289603,5.802897927097853,5.093091655206684,4.920202261558259,4.945521211675323,4.886668555906882,mixed
2,3,CHCH2,15,21'',7.38,1.36,7.9e-07,0.97,4.88,[85],[78],8.0,6.330325205024213,6.340526589119047,6.440024514002429,6.343541389665692,6.263004314017813,6.275330431352489,mixed
3,4,CHCH2,11,21'',7.44,1.36,1.65e-06,0.98,4.31,[91],[77],8.0,4.25031995421807,4.990305731167515,4.346617361621045,4.098900647550449,4.121263836319545,4.069692243507209,mixed
3,4,CHCH2,11,21'',7.44,1.36,1.65e-06,0.98,4.31,[91],[78],8.0,4.484516563208477,5.259663699843859,4.611292893667925,4.3328615452348025,4.335258942168024,4.284238883534645,mixed
4,5,CHCH2,15,25',7.38,3.21,1.24e-06,0.98,4.52,[85],[54],6.0,3.875706628939892,4.275548363798633,3.4242902354969367,4.025291991673947,4.035238056873159,4.056071199260462,mixed
5,6,CHCH2,12,21'',7.11,1.36,2.791e-05,0.99,2.69,[92],[77],7.0,3.0342743837636026,3.543041839524296,3.0926979301113633,2.935561583051775,2.946707107710274,2.903702160886194,mixed
5,6,CHCH2,12,21'',7.11,1.36,2.791e-05,0.99,2.69,[92],[78],7.0,2.8908513897391037,3.4164369039336577,2.9767604023218333,2.7962309463025936,2.792680515796486,2.7522845227359922,mixed
6,7,CHCH2,18,21'',4.89,1.36,2.166e-05,0.99,2.81,[81],[77],4.0,3.0153036830533497,3.06595350749209,2.864554818899132,2.995326951736441,3.1144908905777453,3.0857546708647114,macrocycle
6,7,CHCH2,18,21'',4.89,1.36,2.166e-05,0.99,2.81,[81],[78],4.0,2.701636968422814,3.0423463000500646,2.7362037324171102,2.6253480076105356,2.6395006142872064,2.6044858884803808,macrocycle
7,8,CHCH2,12,20',7.11,1.51,1.966e-05,0.98,2.85,[92],[79],6.0,4.1336952331433015,4.135342816232045,4.207372287851957,4.131295751981355,4.0942048915217155,4.106639327062529,mixed
8,9,CHCH2,12,20'',7.11,1.66,1.094e-05,0.96,3.15,[92],[80],6.0,4.233312724322035,4.173023714589267,4.2285763297148655,4.274591754692686,4.2156833045669,4.281311578295349,mixed
9,10,CHCH3,12,19,7.11,1.24,5.357e-05,0.99,2.41,[92],"[82, 83, 84]",6.0,3.2971619893527397,2.8012245369363606,3.3046566290977215,3.667289026753253,3.677661209028336,4.014689209512164,mixed
