,restraint_number,atom_type,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4,ring_classification
0,1,CHCH,12,18,7.11,4.89,0.00032803,0.99,1.79,[92],[81],5.0,2.0552374280806704,2.1044318115731566,2.060112784028546,2.070180882244184,2.0397042208977276,2.0101386061607087,mixed
1,2,CHCH2,12,25',7.11,3.21,1.76e-06,0.96,4.27,[92],[54],7.0,4.508769139195948,4.838782213715026,4.562950160007959,4.612752084843762,4.443087948567514,4.237805114707154,mixed
2,3,CHCH2,15,21'',7.38,1.36,7.9e-07,0.97,4.88,[85],[77],8.0,5.117478483238375,5.303151112281743,5.221380176390122,5.240335457842896,5.048418710760034,4.865489128175743,mixed
2,3,CHCH2,15,21'',7.38,1.36,7.9e-07,0.97,4.88,[85],[78],8.0,6.322465283519788,6.050227894796235,6.462799638780635,6.450584678867242,6.424538441708018,6.295260981820404,mixed
3,4,CHCH2,11,21'',7.44,1.36,1.65e-06,0.98,4.31,[91],[77],8.0,4.38768098651532,4.678279059231897,4.46933104390184,4.501080329159592,4.329574623736524,4.108856804594214,mixed
3,4,CHCH2,11,21'',7.44,1.36,1.65e-06,0.98,4.31,[91],[78],8.0,4.710767674094823,4.970558094725175,4.817209894055817,4.852224897939492,4.66386320292277,4.402158498538047,mixed
4,5,CHCH2,15,25',7.38,3.21,1.24e-06,0.98,4.52,[85],[54],6.0,3.455856855378604,3.1207343052490177,3.4742970475191157,3.5427211951404662,3.559723724651185,3.894195756290938,mixed
5,6,CHCH2,12,21'',7.11,1.36,2.791e-05,0.99,2.69,[92],[77],7.0,3.126893187220639,3.3622916282343365,3.165348094192428,3.185606636051413,3.0715562258050397,2.9506685881469634,mixed
5,6,CHCH2,12,21'',7.11,1.36,2.791e-05,0.99,2.69,[92],[78],7.0,3.061210457631181,3.27986048214472,3.1192871533538242,3.13911775777965,3.022932047995019,2.8589102646237574,mixed
6,7,CHCH2,18,21'',4.89,1.36,2.166e-05,0.99,2.81,[81],[77],4.0,2.856218870416429,2.9105384886421732,2.8590529636891775,2.7761650387278896,2.782378211265269,2.9920919910446715,macrocycle
6,7,CHCH2,18,21'',4.89,1.36,2.166e-05,0.99,2.81,[81],[78],4.0,2.649080537142301,2.7169969357560215,2.689530311711612,2.712686684639671,2.6176815175683616,2.540201830826163,macrocycle
7,8,CHCH2,12,20',7.11,1.51,1.966e-05,0.98,2.85,[92],[80],6.0,4.290017195214954,4.289479939252603,4.134640268457773,4.399653329781193,4.435060467086825,4.240022967592239,mixed
8,9,CHCH2,12,20'',7.11,1.66,1.094e-05,0.96,3.15,[92],[79],6.0,3.860135042454606,3.4325195029933457,4.151108777252355,4.0913590830558135,4.194303378122966,3.8488816298191857,mixed
9,10,CHCH3,12,19,7.11,1.24,5.357e-05,0.99,2.41,[92],"[82, 83, 84]",6.0,3.2567298661645303,3.1204830189936206,3.1967708032744344,3.0946294028285886,3.26912868148203,4.092726727599411,mixed
10,11,CHCH3,15,30,7.38,0.52,2.534e-05,0.99,2.74,[85],"[57, 58, 59]",8.0,3.159776171705283,3.3647802309303336,3.2007823128715613,3.280955084281682,3.121013089656923,2.9487657266204614,mixed
11,12,NH-CH,9,11,9.92,7.44,2.673e-05,0.99,2.71,[86],[91],4.0,2.659343800094034,2.547344666375114,3.1554422148037062,2.4123460038796605,3.03017431640579,2.6192548347310227,extracyclic
12,13,NH-CH,9,12,9.92,7.11,1.86e-06,0.96,4.23,[86],[92],5.0,4.942087396329181,4.8415053826770285,5.239824208693033,4.691507536722682,5.184316395474208,4.903742924126702,extracyclic
13,14,NH-CH,9,15,9.92,7.38,5.305e-05,0.99,2.42,[86],[85],4.0,2.452629983953385,2.5509412301896233,2.312543615602713,2.769700386114934,2.333358770724509,2.4710559550212032,extracyclic
14,15,NH-CH3,9,30,9.92,0.52,2.05e-06,0.99,4.16,[86],"[57, 58, 59]",10.0,4.884475001446776,5.305261669503264,4.722577505954636,5.793241755646475,4.622438188490204,4.609675632924334,mixed
15,16,CHCH2,15,6,7.38,2.55,1.3e-06,0.99,4.49,[85],"[88, 87]",6.0,4.645436921378371,4.647211708359943,4.620694844274268,4.685531889269164,4.644929856576411,4.6306370390248155,extracyclic
16,17,CH2CH,31'',26,2.91,1.88,6.103e-05,0.99,2.36,[61],[56],4.0,2.725897444255513,2.8249843548069626,2.9369535172237193,2.678667361952774,2.67833121845368,2.5988415836954104,mixed
17,18,CH2CH,31',26,2.76,1.88,1.38e-05,0.97,3.03,[62],[56],4.0,3.49606821786699,3.5926371854331935,3.6855267038996353,3.4696488341389324,3.4655184988236245,3.337311580157688,mixed
18,19,CH2CH2,29'',22',3.57,1.15,8.172e-05,0.99,2.25,[73],[75],3.0,2.5240809212798654,2.5393790493360595,2.5404390973398434,2.570482733195017,2.5198297631854834,2.4599424195722976,macrocycle
18,19,CH2CH2,29'',22',3.57,1.15,8.172e-05,0.99,2.25,[73],[76],3.0,2.43526027822452,2.4467194574485123,2.4554449100812996,2.3859795174344023,2.4428700603715177,2.450129582181117,macrocycle
19,20,CH2CH2,29'',20'',3.57,1.66,2.479e-05,0.95,2.75,[73],[79],5.0,3.8329882830958106,3.4324767410196824,3.6929316348514147,4.36457538512295,4.029710936392565,4.160543517086126,macrocycle
20,21,CH2CH2,29'',31',3.57,2.76,1.481e-05,0.98,2.99,[73],[62],5.0,2.9332623943892413,2.779018155885176,2.7333130531069214,3.1547234492117298,2.975706690075633,3.2645892043235856,mixed
21,22,CH2CH2,29',20'',3.27,1.66,0.0001121,0.99,2.13,[74],[79],5.0,3.3068084066735377,3.374729543118905,3.3588609524748847,3.3407683136204196,3.28671403440207,3.196174309762742,macrocycle
22,23,CH2CH2,29',22',3.27,1.15,7.72e-05,0.99,2.27,[74],[75],3.0,2.8603570564108094,2.78845468320183,2.779254788418919,2.892119934689226,2.8590021968849038,3.0299057597553243,macrocycle
22,23,CH2CH2,29',22',3.27,1.15,7.72e-05,0.99,2.27,[74],[76],3.0,2.5504688939537306,2.5613314002808285,2.563150489481829,2.598858924986929,2.5501531616550874,2.4880094512413087,macrocycle
23,24,CH2CH2,25',21'',3.21,1.36,2.879e-05,0.97,2.68,[54],[77],8.0,2.365866880783039,2.5346551012460035,2.398982242278974,2.4229631562902303,2.324232693266979,2.226474485371243,macrocycle
23,24,CH2CH2,25',21'',3.21,1.36,2.879e-05,0.97,2.68,[54],[78],8.0,3.9469070115082783,4.279290706961581,4.112061326777333,4.168484830195898,4.015070790520588,3.522338676505805,macrocycle
24,25,CH2CH2,25'',20'',3.21,1.66,5.752e-05,0.99,2.39,[55],[79],9.0,4.394761500118153,4.401741985112342,4.470766916858281,4.514431779440321,4.42392376873399,4.209421309376552,macrocycle
25,26,CH2CH2,20'',21'',1.66,1.36,6.459e-05,0.99,2.34,[79],[77],3.0,2.9023305793706413,2.8610287573469186,2.862132331916375,2.835776052456934,2.9252500847871525,3.0659005320983375,macrocycle
25,26,CH2CH2,20'',21'',1.66,1.36,6.459e-05,0.99,2.34,[79],[78],3.0,2.4650772493668645,2.5038436644972517,2.486077925050814,2.456078099926141,2.4235055067069053,2.461246134630812,macrocycle
26,27,CH2CH3,29'',33,3.57,2.65,7.15e-06,0.98,3.38,[73],"[64, 65, 63]",7.0,3.232288838742306,3.1479007127195024,3.66359963490791,3.2159659664412352,3.186216979823528,3.120331309142647,mixed
27,28,CH2CH3,25',30,3.21,0.52,1.086e-05,0.96,3.15,[54],"[57, 58, 59]",4.0,2.8386532050560715,2.7903634341725048,2.834954127769971,2.819720739553167,2.853420605740184,2.903423215225726,mixed
28,29,CH3CH,33,26,2.65,1.88,5.19e-06,0.99,3.56,"[64, 65, 63]",[56],6.0,3.8133492121593555,4.095802414616014,3.4880506429829023,3.908490326434931,3.775014767871032,4.0315216305684185,mixed
29,30,CH2CH3,21'',30,1.36,0.52,2.18e-06,0.99,4.12,[77],"[57, 58, 59]",8.0,4.1030754592029215,4.384960733705679,4.149851175720274,4.266838469296033,4.023039041991733,3.844261595468859,mixed
29,30,CH2CH3,21'',30,1.36,0.52,2.18e-06,0.99,4.12,[78],"[57, 58, 59]",8.0,5.80738219048243,5.839390268072298,5.847298954002239,5.948642084379564,5.823278411973265,5.615572183589167,mixed
30,31,CH2CH3,31'',33,2.91,2.65,3.17e-05,0.97,2.64,[61],"[64, 65, 63]",4.0,3.2500420682092646,3.495457759201035,3.4344316123221894,3.3231970774659754,3.224680425853367,2.9712850020753474,extracyclic
31,32,CH2CH3,31'',30,2.91,0.52,5.861e-05,0.99,2.38,[61],"[57, 58, 59]",5.0,2.7439244396839735,2.70957908358307,2.611802249526039,2.764998078727957,2.7634197559762477,2.938196538786954,mixed
32,33,CH2CH3,31',30,2.76,0.52,3.922e-05,0.99,2.54,[62],"[57, 58, 59]",5.0,2.902781005939098,3.065945786736746,3.3896594697011606,2.8549350281999364,2.848885283153251,2.6672702511693136,mixed
