i_conformer,i_atom,charge
0,0,0.1257
0,1,-0.4259
0,2,0.6091
0,3,-0.545
0,4,0.0727
0,5,-0.036300000000000006
0,6,-0.2792
0,7,0.019999999999999997
0,8,-0.026300000000000004
0,9,-0.1076
0,10,-0.086
0,11,-0.131
0,12,-0.103
0,13,-0.125
0,14,0.6497
0,15,-0.513
0,16,-0.4609
0,17,0.1384
0,18,0.041699999999999994
0,19,-0.5339
0,20,0.6571
0,21,-0.6011
0,22,0.034699999999999995
0,23,-0.0884
0,24,-0.0904
0,25,0.088
0,26,-0.4648
0,27,0.6661
0,28,-0.1681
0,29,-0.6261
0,30,0.6361
0,31,-0.6001
0,32,-0.5599
0,33,0.05303299999999999
0,34,0.05303299999999999
0,35,0.05303299999999999
0,36,0.1237
0,37,0.0982
0,38,0.0982
0,39,0.0822
0,40,0.0822
0,41,0.148
0,42,0.142
0,43,0.14
0,44,0.151
0,45,0.0857
0,46,0.0857
0,47,0.0917
0,48,0.3435
0,49,0.0907
0,50,0.0762
0,51,0.0762
0,52,0.057699999999999994
0,53,0.057699999999999994
0,54,0.04669999999999999
0,55,0.04669999999999999
0,56,0.069367
0,57,0.069367
0,58,0.069367
0,59,0.3415
1,0,0.12673335000000002
1,1,-0.44386665000000003
1,2,0.61613335
1,3,-0.51996665
1,4,0.07273335
1,5,-0.04126665
1,6,-0.28216665
1,7,0.016033350000000005
1,8,-0.03226665
1,9,-0.11656665
1,10,-0.08396665
1,11,-0.13596665
1,12,-0.09996665
1,13,-0.13296665
1,14,0.65273335
1,15,-0.52796665
1,16,-0.45286665000000004
1,17,0.12343335
1,18,0.03873335
1,19,-0.5548666499999999
1,20,0.6621333500000001
1,21,-0.6140666499999999
1,22,0.03773335
1,23,-0.08836665
1,24,-0.09236665
1,25,0.08703335
1,26,-0.46976665
1,27,0.6631333500000001
1,28,-0.16706664999999998
1,29,-0.6180666499999999
1,30,0.6601333500000001
1,31,-0.6030666499999999
1,32,-0.5538666499999999
1,33,0.052066350000000004
1,34,0.052066350000000004
1,35,0.052066350000000004
1,36,0.12473335
1,37,0.09823335
1,38,0.09823335
1,39,0.09373335000000001
1,40,0.09373335000000001
1,41,0.15503335000000001
1,42,0.14303335
1,43,0.14103335
1,44,0.15403335
1,45,0.07773335
1,46,0.07773335
1,47,0.10673335
1,48,0.35553334999999997
1,49,0.09073335
1,50,0.07623335
1,51,0.07623335
1,52,0.05773335
1,53,0.05773335
1,54,0.04823335
1,55,0.04823335
1,56,0.07073335
1,57,0.07073335
1,58,0.07073335
1,59,0.33153335
2,0,0.12568335
2,1,-0.43891665
2,2,0.6020833499999999
2,3,-0.5260166500000001
2,4,0.06868334999999998
2,5,-0.03631665000000002
2,6,-0.26621665
2,7,0.007983349999999983
2,8,-0.021316650000000017
2,9,-0.12161665000000002
2,10,-0.08501665000000003
2,11,-0.13801665000000002
2,12,-0.10001665000000003
2,13,-0.12901665
2,14,0.6506833499999999
2,15,-0.5480166500000001
2,16,-0.42791665
2,17,0.13738335
2,18,0.006683349999999982
2,19,-0.5489166500000001
2,20,0.65808335
2,21,-0.60911665
2,22,0.03668334999999998
2,23,-0.08841665000000003
2,24,-0.09141665000000002
2,25,0.08698334999999997
2,26,-0.47081665
2,27,0.66608335
2,28,-0.16711665
2,29,-0.62111665
2,30,0.6420833499999999
2,31,-0.59211665
2,32,-0.56891665
2,33,0.052683349999999976
2,34,0.052683349999999976
2,35,0.052683349999999976
2,36,0.13568334999999998
2,37,0.09218334999999998
2,38,0.09218334999999998
2,39,0.10318334999999998
2,40,0.10318334999999998
2,41,0.15198335
2,42,0.14198334999999998
2,43,0.13998335
2,44,0.14798334999999999
2,45,0.08118334999999997
2,46,0.08118334999999997
2,47,0.12568335
2,48,0.34848334999999997
2,49,0.09068334999999998
2,50,0.07518334999999998
2,51,0.07518334999999998
2,52,0.05768334999999998
2,53,0.05768334999999998
2,54,0.04868334999999998
2,55,0.04868334999999998
2,56,0.07101634999999998
2,57,0.07101634999999998
2,58,0.07101634999999998
2,59,0.33748335
3,0,0.12571664999999999
3,1,-0.43588335
3,2,0.5961166499999999
3,3,-0.5339833500000001
3,4,0.06971664999999999
3,5,-0.036283350000000006
3,6,-0.25718335
3,7,0.012016649999999993
