i_conformer,i_atom,charge
0,0,-0.0873706323529412
0,1,-0.09737063235294119
0,2,-0.15437063235294118
0,3,0.6541293676470589
0,4,-0.5850706323529411
0,5,-0.5268706323529412
0,6,0.030729367647058817
0,7,-0.0960706323529412
0,8,0.6011293676470588
0,9,-0.5920706323529411
0,10,-0.4557706323529412
0,11,0.003029367647058817
0,12,0.6601293676470589
0,13,-0.6020706323529411
0,14,-0.5508706323529411
0,15,0.03372936764705882
0,16,-0.04407063235294118
0,17,-0.0912706323529412
0,18,-0.12097063235294118
0,19,-0.12597063235294118
0,20,-0.12497063235294119
0,21,-0.12097063235294118
0,22,-0.12597063235294118
0,23,0.6391293676470589
0,24,-0.5770706323529411
0,25,-0.5638706323529411
0,26,0.09072936764705881
0,27,-0.12107063235294119
0,28,0.08902936764705881
0,29,-0.09867063235294118
0,30,-0.09907063235294118
0,31,-0.09907063235294118
0,32,0.04172936764705882
0,33,0.04172936764705882
0,34,0.07122936764705881
0,35,0.07122936764705881
0,36,0.07622936764705882
0,37,0.07622936764705882
0,38,0.2905293676470588
0,39,0.10972936764705882
0,40,0.05172936764705882
0,41,0.05172936764705882
0,42,0.05172936764705882
0,43,0.08922936764705881
0,44,0.08922936764705881
0,45,0.3075293676470588
0,46,0.12372936764705882
0,47,0.05572936764705882
0,48,0.05572936764705882
0,49,0.13302936764705883
0,50,0.13252936764705883
0,51,0.13202936764705883
0,52,0.13302936764705883
0,53,0.13252936764705883
0,54,0.2925293676470588
0,55,0.09472936764705882
0,56,0.04339636764705882
0,57,0.04339636764705882
0,58,0.04339636764705882
0,59,0.05672936764705882
0,60,0.05672936764705882
0,61,0.05572936764705882
0,62,0.04239636764705882
0,63,0.04239636764705882
0,64,0.04239636764705882
0,65,0.04239636764705882
0,66,0.04239636764705882
0,67,0.04239636764705882
1,0,-0.09834116176470589
1,1,-0.0683411617647059
1,2,-0.15334116176470589
1,3,0.6571588382352941
1,4,-0.6140411617647059
1,5,-0.5708411617647059
1,6,0.048758838235294116
1,7,-0.10404116176470589
1,8,0.6271588382352941
1,9,-0.6390411617647059
1,10,-0.44974116176470585
1,11,0.012058838235294115
1,12,0.6341588382352941
1,13,-0.6000411617647059
1,14,-0.5698411617647059
1,15,0.03375883823529412
1,16,-0.05004116176470588
1,17,-0.09624116176470589
1,18,-0.12294116176470589
1,19,-0.13194116176470588
1,20,-0.1359411617647059
1,21,-0.12294116176470589
1,22,-0.13194116176470588
1,23,0.6491588382352941
1,24,-0.6230411617647059
1,25,-0.5598411617647059
1,26,0.10475883823529411
1,27,-0.10704116176470589
1,28,0.07605883823529411
1,29,-0.08164116176470589
1,30,-0.0950411617647059
1,31,-0.0950411617647059
1,32,0.061258838235294114
1,33,0.061258838235294114
1,34,0.054758838235294115
1,35,0.054758838235294115
1,36,0.07275883823529411
1,37,0.07275883823529411
1,38,0.32155883823529413
1,39,0.10375883823529411
1,40,0.055758838235294116
1,41,0.055758838235294116
1,42,0.055758838235294116
1,43,0.09325883823529411
1,44,0.09325883823529411
1,45,0.33455883823529414
1,46,0.11675883823529411
1,47,0.07325883823529411
1,48,0.07325883823529411
1,49,0.1425588382352941
1,50,0.13355883823529413
1,51,0.13005883823529413
1,52,0.1425588382352941
1,53,0.13355883823529413
1,54,0.3115588382352941
1,55,0.0667588382352941
1,56,0.04309183823529412
1,57,0.04309183823529412
1,58,0.04309183823529412
1,59,0.07425883823529411
1,60,0.07425883823529411
1,61,0.05875883823529412
1,62,0.037758838235294113
1,63,0.037758838235294113
1,64,0.037758838235294113
1,65,0.037758838235294113
1,66,0.037758838235294113
1,67,0.037758838235294113
2,0,-0.09037054411764704
2,1,-0.07737054411764704
2,2,-0.15037054411764705
2,3,0.6531294558823529
2,4,-0.613070544117647
2,5,-0.573870544117647
2,6,0.04572945588235294
2,7,-0.10607054411764705
2,8,0.6411294558823529
2,9,-0.593070544117647
2,10,-0.45977054411764706
2,11,0.04102945588235295
2,12,0.6361294558823529
2,13,-0.593070544117647
2,14,-0.561870544117647
2,15,0.04572945588235294
2,16,-0.07107054411764704
2,17,-0.08527054411764705
2,18,-0.11997054411764704
2,19,-0.12797054411764705
2,20,-0.12697054411764705
2,21,-0.11997054411764704
2,22,-0.12797054411764705
2,23,0.6531294558823529
2,24,-0.592070544117647
2,25,-0.577870544117647
2,26,0.09872945588235295
2,27,-0.11507054411764704
2,28,0.09402945588235295
2,29,-0.09267054411764705
2,30,-0.09107054411764705
2,31,-0.09107054411764705
2,32,0.048229455882352945
2,33,0.048229455882352945
2,34,0.06072945588235294
2,35,0.06072945588235294
2,36,0.06622945588235295
2,37,0.06622945588235295
2,38,0.3085294558823529
2,39,0.07472945588235295
2,40,0.06372945588235296
2,41,0.06372945588235296
2,42,0.06372945588235296
2,43,0.06922945588235295
2,44,0.06922945588235295
2,45,0.3095294558823529
2,46,0.10272945588235295
2,47,0.07322945588235295
2,48,0.07322945588235295
