i_conformer,i_atom,charge
0,0,-0.5240516209677419
0,1,0.583148379032258
0,2,-0.15065162096774193
0,3,0.14614837903225808
0,4,-0.4415516209677419
0,5,0.3189483790322581
0,6,-0.41155162096774195
0,7,0.16014837903225806
0,8,-0.13535162096774192
0,9,0.09954837903225808
0,10,-0.6723516209677419
0,11,0.07814837903225808
0,12,0.07814837903225808
0,13,0.07414837903225807
0,14,-0.5987516209677419
0,15,-0.12805162096774192
0,16,0.16284837903225807
0,17,-0.4475516209677419
0,18,0.10874837903225808
0,19,-0.13805162096774193
0,20,-0.07735162096774192
0,21,-0.14865162096774193
0,22,0.5691483790322581
0,23,-0.551051620967742
0,24,-0.15265162096774193
0,25,-0.08305162096774192
0,26,0.07674837903225808
0,27,-0.4557516209677419
0,28,0.8126483790322581
0,29,-0.598451620967742
0,30,-0.3998516209677419
0,31,0.14484837903225808
0,32,-0.09905162096774192
0,33,0.14714837903225808
0,34,-0.44685162096774195
0,35,0.6441483790322581
0,36,-0.5019516209677419
0,37,-0.19865162096774192
0,38,-0.10405162096774193
0,39,-0.10135162096774193
0,40,-0.09705162096774193
0,41,0.09204837903225807
0,42,-0.11135162096774193
0,43,-0.10535162096774192
0,44,0.035348379032258063
0,45,-0.20985162096774193
0,46,-0.24055162096774194
0,47,0.3518483790322581
0,48,-0.661951620967742
0,49,0.40744837903225806
0,50,-0.20975162096774191
0,51,-0.07095162096774192
0,52,-0.24725162096774192
0,53,0.38624837903225806
0,54,-0.667951620967742
0,55,0.38924837903225806
0,56,-0.09605162096774193
0,57,-0.10305162096774192
0,58,0.06474837903225807
0,59,0.05974837903225807
0,60,0.12974837903225808
0,61,0.07874837903225808
0,62,0.08324837903225807
0,63,0.08324837903225807
0,64,0.11374837903225807
0,65,0.44484837903225805
0,66,0.10741537903225808
0,67,0.10741537903225808
0,68,0.10741537903225808
0,69,0.10741537903225808
0,70,0.10741537903225808
0,71,0.10741537903225808
0,72,0.09274837903225808
0,73,0.43504837903225807
0,74,0.06841537903225807
0,75,0.06841537903225807
0,76,0.06841537903225807
0,77,0.04574837903225806
0,78,0.04574837903225806
0,79,0.04574837903225806
0,80,0.06608137903225807
0,81,0.06608137903225807
0,82,0.06608137903225807
0,83,0.05874837903225807
0,84,0.05874837903225807
0,85,0.08374837903225807
0,86,0.07874837903225808
0,87,0.05308137903225806
0,88,0.05308137903225806
0,89,0.05308137903225806
0,90,0.07374837903225807
0,91,0.06041537903225806
0,92,0.06041537903225806
0,93,0.06041537903225806
0,94,0.07574837903225808
0,95,0.10974837903225808
0,96,0.06308137903225808
0,97,0.06308137903225808
0,98,0.06308137903225808
0,99,0.07374837903225807
0,100,0.07374837903225807
0,101,0.039415379032258065
0,102,0.039415379032258065
0,103,0.039415379032258065
0,104,0.07724837903225808
0,105,0.07724837903225808
0,106,0.055248379032258065
0,107,0.055248379032258065
0,108,0.05224837903225807
0,109,0.05224837903225807
0,110,0.07124837903225807
0,111,0.07124837903225807
0,112,0.17604837903225806
0,113,0.08414837903225807
