i_conformer,i_atom,charge
0,0,0.1167
0,1,-0.4126
0,2,0.1171
0,3,-0.1064
0,4,-0.1034
0,5,0.1431
0,6,-0.1344
0,7,0.083
0,8,-0.4448
0,9,0.0733
0,10,0.6811
0,11,-0.6111
0,12,-0.1407
0,13,-0.0951
0,14,0.1281
0,15,0.067
0,16,-0.4558
0,17,0.0603
0,18,0.6897
0,19,-0.6001
0,20,-0.1446
0,21,0.1861
0,22,-0.3439
0,23,0.1354
0,24,0.1471
0,25,-0.3986
0,26,-0.047
0,27,-0.069
0,28,-0.152
0,29,-0.071
0,30,0.2408
0,31,-0.3568
0,32,-0.4186
0,33,0.1027
0,34,0.0357
0,35,0.0357
0,36,0.0357
0,37,0.0497
0,38,0.0562
0,39,0.0562
0,40,0.0482
0,41,0.0482
0,42,0.0717
0,43,0.0537
0,44,0.0537
0,45,0.0717
0,46,0.0717
0,47,0.037367
0,48,0.037367
0,49,0.037367
0,50,0.0847
0,51,0.044033
0,52,0.044033
0,53,0.044033
0,54,0.0437
0,55,0.0642
0,56,0.0642
0,57,0.0537
0,58,0.0537
0,59,0.0537
0,60,0.0737
0,61,0.0737
0,62,0.0617
0,63,0.148
0,64,0.145
0,65,0.148
0,66,0.0447
0,67,0.0447
0,68,0.0447
1,0,0.1117
1,1,-0.4176
1,2,0.1171
1,3,-0.0844
1,4,-0.1054
1,5,0.1271
1,6,-0.1044
1,7,0.095
1,8,-0.4558
1,9,0.0653
1,10,0.6731
1,11,-0.6141
1,12,-0.1517
1,13,-0.0911
1,14,0.1191
1,15,0.071
1,16,-0.4418
1,17,0.0653
1,18,0.6817
1,19,-0.5971
1,20,-0.1886
1,21,0.2041
1,22,-0.3369
1,23,0.0934
1,24,0.1121
1,25,-0.4126
1,26,-0.046000000000000006
1,27,-0.05800000000000001
1,28,-0.165
1,29,-0.060000000000000005
1,30,0.2528
1,31,-0.3698
1,32,-0.4276
1,33,0.0947
1,34,0.03869999999999999
1,35,0.03869999999999999
1,36,0.03869999999999999
1,37,0.05269999999999999
1,38,0.058699999999999995
1,39,0.058699999999999995
1,40,0.051699999999999996
