i_conformer,i_atom,charge
0,0,-0.1120785376344086
0,1,0.0687214623655914
0,2,0.10342146236559141
0,3,-0.6007785376344086
0,4,-0.44877853763440856
0,5,0.11602146236559141
0,6,-0.1016785376344086
0,7,-0.10007853763440859
0,8,0.12512146236559138
0,9,0.21082146236559138
0,10,-0.8134785376344086
0,11,0.2031214623655914
0,12,1.5042214623655914
0,13,-0.6552785376344086
0,14,-0.6552785376344086
0,15,-0.3854785376344086
0,16,-0.012478537634408602
0,17,-0.1604785376344086
0,18,-0.0092785376344086
0,19,-0.0687785376344086
0,20,-0.1604785376344086
0,21,-0.012478537634408602
0,22,-0.42557853763440856
0,23,0.13042146236559138
0,24,-0.1113785376344086
0,25,-0.0723785376344086
0,26,-0.0733785376344086
0,27,0.13212146236559139
0,28,-0.1240785376344086
0,29,-0.3528785376344086
0,30,0.11212146236559141
0,31,-0.1195785376344086
0,32,-0.1519785376344086
0,33,0.055621462365591394
0,34,-0.4640785376344086
0,35,0.6671214623655914
0,36,-0.5890785376344085
0,37,-0.15537853763440862
0,38,-0.1173785376344086
0,39,0.6229214623655914
0,40,-0.23861153763440862
0,41,-0.23861153763440862
0,42,-0.23861153763440862
0,43,-0.13097853763440861
0,44,-0.1229785376344086
0,45,0.6847214623655914
0,46,-0.6110785376344086
0,47,0.0483884623655914
0,48,0.0483884623655914
0,49,0.0483884623655914
0,50,0.0957214623655914
0,51,0.0522214623655914
0,52,0.0522214623655914
0,53,0.39602146236559144
0,54,0.045221462365591394
0,55,0.045221462365591394
0,56,0.0897214623655914
0,57,0.0433884623655914
0,58,0.0433884623655914
0,59,0.0433884623655914
0,60,0.0697214623655914
0,61,0.0567214623655914
0,62,0.0567214623655914
0,63,0.0480544623655914
0,64,0.0480544623655914
0,65,0.0480544623655914
0,66,0.1520214623655914
0,67,0.1405214623655914
0,68,0.053388462365591395
0,69,0.053388462365591395
0,70,0.053388462365591395
0,71,0.1405214623655914
0,72,0.1520214623655914
0,73,0.0437214623655914
0,74,0.0437214623655914
0,75,0.054721462365591396
0,76,0.054721462365591396
0,77,0.0497214623655914
0,78,0.0497214623655914
0,79,0.0492214623655914
0,80,0.0492214623655914
0,81,0.0827214623655914
0,82,0.044388462365591394
0,83,0.044388462365591394
0,84,0.044388462365591394
0,85,0.14202146236559138
0,86,0.3205214623655914
0,87,0.0812214623655914
0,88,0.0812214623655914
0,89,0.1032214623655914
0,90,0.1032214623655914
0,91,0.17802146236559138
0,92,0.1540214623655914
1,0,-0.12911072043010752
1,1,0.05368927956989248
1,2,0.12338927956989247
1,3,-0.5938107204301075
1,4,-0.4448107204301075
1,5,0.07698927956989247
1,6,-0.10971072043010753
1,7,-0.08611072043010752
1,8,0.12908927956989247
1,9,0.21778927956989247
1,10,-0.8045107204301075
1,11,0.20808927956989248
1,12,1.5091892795698927
1,13,-0.6573107204301075
1,14,-0.6573107204301075
1,15,-0.38751072043010754
1,16,-0.01001072043010752
1,17,-0.16601072043010753
1,18,-0.011310720430107519
1,19,-0.06681072043010752
1,20,-0.16601072043010753
1,21,-0.01001072043010752
1,22,-0.4456107204301075
1,23,0.11738927956989248
1,24,-0.08341072043010753
1,25,-0.07741072043010752
1,26,-0.08641072043010753
1,27,0.14008927956989248
1,28,-0.11411072043010752
1,29,-0.3349107204301075
1,30,0.11308927956989248
1,31,-0.12461072043010753
1,32,-0.14401072043010751
1,33,0.04958927956989248
1,34,-0.47011072043010754
1,35,0.6630892795698925
1,36,-0.5831107204301075
1,37,-0.16341072043010751
1,38,-0.11741072043010753
1,39,0.6218892795698925
1,40,-0.23797772043010754
1,41,-0.23797772043010754
1,42,-0.23797772043010754
1,43,-0.12501072043010752
1,44,-0.1430107204301075
1,45,0.6776892795698924
1,46,-0.5721107204301076
1,47,0.04702227956989248
1,48,0.04702227956989248
1,49,0.04702227956989248
1,50,0.06768927956989247
1,51,0.05468927956989248
1,52,0.05468927956989248
1,53,0.4019892795698925
1,54,0.06018927956989248
1,55,0.06018927956989248
1,56,0.09868927956989247
1,57,0.03868927956989248
1,58,0.03868927956989248
1,59,0.03868927956989248
1,60,0.04568927956989248
1,61,0.07418927956989248
1,62,0.07418927956989248
1,63,0.04202227956989248
1,64,0.04202227956989248
1,65,0.04202227956989248
1,66,0.16248927956989248
1,67,0.1379892795698925
1,68,0.051689279569892485
1,69,0.051689279569892485
1,70,0.051689279569892485
1,71,0.1379892795698925
1,72,0.16248927956989248
1,73,0.04568927956989248
1,74,0.04568927956989248
1,75,0.050689279569892484
1,76,0.050689279569892484
1,77,0.051689279569892485
1,78,0.051689279569892485
1,79,0.05268927956989248
1,80,0.05268927956989248
1,81,0.04668927956989248
1,82,0.04668927956989248
1,83,0.04668927956989248
1,84,0.04668927956989248
1,85,0.14498927956989247
1,86,0.3294892795698925
