restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab
1,17,19,6.49,6.21,0.0000905,0.99,2.20
2,18,20,6.95,2.39,0.0000038,0.98,3.74
3,18,21,6.95,3.82,0.0001724,0.99,1.98
4,18,24,6.95,1.39,0.0000082,0.99,3.29
5,19,20,6.21,2.39,0.0000826,0.99,2.24
6,19,21,6.21,3.82,0.0000039,0.99,3.72
7,20,21,2.39,3.82,0.0000221,0.99,2.79
8,20,22,2.39,1.87,0.0000075,0.99,3.33
9,21,22,3.82,1.87,0.0000824,0.99,2.24
10,21,23,3.82,3.11,0.0000085,0.99,3.26
11,21,24,3.82,1.39,0.0002086,0.99,1.92
13,21,25,3.82,5.08,0.0000029,0.99,3.90
13,22,23,1.87,3.11,0.0001138,0.99,2.12
14,22,24,1.87,1.39,0.0000087,0.99,3.25
15,23,24,3.11,1.39,0.0000160,0.98,2.94
16,23,25,3.11,5.08,0.0000388,0.99,2.54
17,24,25,1.39,5.08,0.0000837,0.99,2.23
18,24,26,1.39,1.21,0.0000203,0.99,2.82
19,25,26,5.08,1.21,0.0000171,0.99,2.91
20,25,27,5.08,3.46,0.0000221,0.98,2.79
21,26,27,1.21,3.46,0.0000933,0.99,2.19
22,26,28,1.21,5.13,0.0000227,0.98,2.77
23,17,30,6.49,2.05,0.0000511,0.99,2.42
24,19,30,6.21,2.05,0.0000018,0.98,4.22
25,18,31,6.95,0.95,0.0000075,0.99,3.34
26,19,31,6.21,0.95,0.0000117,0.99,3.10
27,21,31,3.82,0.95,0.0000223,0.99,2.78
28,24,31,1.39,0.95,0.0000027,0.99,3.94
29,18,32,6.95,0.97,0.0000013,0.95,4.47
30,19,32,6.21,0.97,0.0000031,0.96,3.86
31,20,32,2.39,0.97,0.0000354,0.99,2.57
32,21,32,3.82,0.97,0.0000083,0.99,3.28
33,23,32,3.11,0.97,0.0000330,0.99,2.61
34,24,32,1.39,0.97,0.0000020,0.99,4.14
35,25,32,5.08,0.97,0.0000018,0.99,4.25
36,18,33,6.95,0.61,0.0000058,0.99,3.48
37,20,33,2.39,0.61,0.0000007,0.99,4.96
38,22,33,1.87,0.61,0.0000667,0.99,2.32
39,23,33,3.11,0.61,0.0000321,0.99,2.62
40,25,33,5.08,0.61,0.0000074,0.99,3.34
41,26,33,1.21,0.61,0.0000747,0.99,2.27
42,27,33,3.46,0.61,0.0000052,0.98,3.54
43,23,36,3.11,2.10,0.0000047,0.99,3.61
44,25,36,5.08,2.10,0.0000025,0.98,4.00
45,27,36,3.46,2.10,0.0000091,0.99,3.23
46,29,36,6.36,2.10,0.0000010,0.99,4.68
47,25,37,5.08,3.04,0.0000052,0.98,3.54
48,26,37,1.21,3.04,0.0000012,0.98,4.56
49,27,37,3.46,3.04,0.0000547,0.99,2.39
50,28,37,5.13,3.04,0.0000089,0.98,3.24
51,29,37,6.36,3.04,0.0000122,0.99,3.07
Ref,22,32,1.87,0.97,0.0000358,0.99,2.57
