restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab
1,17,19,6.39,5.93,0.0000176,0.99,2.66
2,18,21,6.58,3.77,0.0000250,0.99,2.51
3,20,22,2.83,1.71,0.0000012,0.95,4.14
4,21,22,3.77,1.71,0.0000145,0.99,2.74
5,21,24,3.77,1.54,0.0000168,0.99,2.68
6,23,24,3.02,1.54,0.0000051,0.98,3.27
7,23,25,3.02,4.94,0.0000028,0.99,3.61
8,26,27,1.36,3.48,0.0000073,0.99,3.08
9,17,30,6.39,2.08,0.0000086,0.99,2.99
10,18,31,6.58,0.88,0.0000013,0.99,4.10
11,20,31,2.83,0.88,0.0000215,0.99,2.57
12,20,32,2.83,1.02,0.0000119,0.99,2.84
13,21,32,3.77,1.02,0.0000007,0.99,4.50
14,21,33,3.77,0.60,0.0000071,0.99,3.09
15,22,32,1.71,1.02,0.0000169,0.99,2.68
16,22,33,1.71,0.60,0.0000153,0.99,2.72
17,23,32,3.02,1.02,0.0000093,0.99,2.96
18,23,33,3.02,0.60,0.0000059,0.99,3.19
19,24,33,1.54,0.60,0.0000129,0.98,2.80
20,26,33,1.36,0.60,0.0000116,0.99,2.85
21,27,37,3.48,3.04,0.0000062,0.98,3.16
22,29,37,5.20,3.04,0.0000021,0.99,3.80
23,38,33,8.28,0.60,0.0000015,0.99,3.99
Ref,20,31,2.83,0.88,0.0000215,1.00,2.57
