restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab
1,13,11,5.14,3.68,0.0000193,0.99,2.93
2,11,4,3.69,2.03,0.0000623,0.99,2.41
3,2,4,3.07,2.03,0.0000314,0.99,2.70
4,10,4,2.94,2.02,0.0000035,0.98,3.90
5,3,5,3.84,3.53,0.0000235,0.99,2.84
6,5,4,3.53,2.02,0.0000110,0.99,3.22
7,3,2,3.85,3.06,0.0000084,0.99,3.37
8,3,4,3.85,2.02,0.0000167,0.99,3.00
9,11,10,3.69,2.94,0.0000426,0.99,2.57
10,13,12Me,5.14,1.23,0.0000036,0.98,3.89
11,3,2Me,3.84,1.23,0.0000060,0.99,3.56
12,10,8Me,2.94,1.14,0.0000073,0.99,3.45
13,10,12Me,2.94,1.23,0.0000243,0.99,2.82
14,2,4Me,3.06,1.07,0.0000131,0.98,3.13
15,5,6Me,3.53,1.45,0.0000228,0.98,2.85
16,3,4Me,3.85,1.07,0.0000018,0.99,4.35
17,10,8Me,2.94,1.19,0.0000364,0.98,2.64
18,4,6Me,2.03,1.45,0.0000029,0.98,4.02
19,1'',2,4.95,3.06,0.0000018,0.98,4.35
20,1',4Me,4.61,1.07,0.0000185,0.99,2.95
21,1',5'',4.60,4.13,0.0000660,0.99,2.39
22,1',3''Me,4.60,3.32,0.0000080,0.99,3.40
23,1',6Me,4.60,1.45,0.0000028,0.98,4.04
24,16B,5,5.19,3.53,0.00000048,0.99,5.39
25,1'',17,4.95,3.84,0.0000462,0.99,2.52
26,17,4,3.84,2.02,0.0000199,0.98,2.90
27,17,5,3.84,3.53,0.0000125,0.99,3.14
28,17,2,3.84,3.06,0.00000702,0.99,3.45
Ref,2''A,2''B,2.65,1.68,0.0003853,0.99,1.78
