restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab
1,11,8,6.38,2.06,2.68E-06,0.97,4.3008
2,11,13,6.38,5.68,5.18E-05,0.99,2.624
3,11,6,6.38,2.24,2.56E-06,0.97,4.3392
4,11,9,6.38,4.22,0.000103,0.99,2.3424
5,11,3,6.38,3.86,1.89E-05,0.99,3.1104
6,11,10,6.38,5.77,2.75E-05,0.99,2.9184
7,12,15,6.19,5.14,2.65E-06,0.98,4.3136
8,12,10,6.19,5.77,8.79E-05,0.99,2.4064
9,12,13,6.19,5.68,2.61E-05,0.99,2.944
10,10,9,5.77,4.22,1.5E-05,0.99,3.2256
11,10,3,5.77,3.86,4.45E-06,0.99,3.9552
12,10,8,5.77,2.06,4.78E-06,0.96,3.904
13,13,9,5.68,4.22,1.84E-06,0.98,4.5824
14,13,3,5.68,3.86,4.59E-06,0.99,3.9296
15,13,15,5.68,5.14,4.51E-05,0.99,2.688
16,9,8,4.22,2.06,8.86E-05,0.99,2.4064
17,9,7B,4.22,1.15,9.48E-06,0.98,3.4816
18,3,7B,3.86,1.15,2.51E-05,0.99,2.9696
19,12,14A,6.19,2.56,2.42E-05,0.98,2.9824
20,11,7B,6.38,1.15,3.29E-06,0.97,4.16
21,10,20,5.77,0.96,5.38E-05,0.99,2.6112
22,13,16,5.68,1.33,3.12E-06,0.98,4.1984
23,9,20,4.22,0.96,8.04E-06,0.99,3.584
24,11,20,6.38,0.96,9.42E-06,0.98,3.4944
25,12,16,6.19,1.33,1.95E-06,0.98,4.544
26,12,20,6.19,0.96,3.26E-06,0.98,4.16
27,19,9,9.77,4.22,3.68E-06,0.98,4.0832
28,1''',9,4.65,4.22,3.37E-05,0.97,2.816
29,1''',8,4.65,2.06,5.14E-05,0.98,2.6368
30,1',3,4.50,3.86,6.19E-05,0.99,2.5472
31,11,1''',6.38,4.65,4.15E-06,0.99,4.0064
32,19,2',9.77,3.64,2.63E-06,0.98,4.3136
33,1'',3',5.23,2.65,1.43E-05,0.99,3.2512
34,1'',5',5.23,3.45,9.64E-06,0.99,3.4816
Ref,7A,7B,1.52,1.15,0.000122,0.99,2.2784
