restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab
1,11,6,6.25,2.31,9.84E-06,0.99,2.82
2,11,9,6.25,4.05,4.68E-06,0.99,3.19
3,11,3,6.25,3.81,0.000007,0.99,2.98
4,12,3,6.01,3.81,1.34E-06,0.98,3.93
5,12,10,6.01,5.69,3.81E-06,0.98,3.30
6,13,3,5.56,3.81,1.57E-06,0.99,3.83
7,5,6,4.12,2.31,0.000022,0.99,2.47
8,3,4,3.81,3.07,8.89E-06,0.99,2.87
9,11,8,6.25,1.95,3.3E-07,0.97,4.96
10,5,3,4.12,3.81,2.83E-06,0.98,3.47
11,12,14B,6.01,2.10,3.77E-06,0.99,3.31
12,12,2B,6.01,2.25,8.7E-07,0.99,4.22
13,4,2B,3.07,2.25,3.09E-06,0.97,3.42
14,10,20,5.69,0.99,3.35E-06,0.99,3.37
16,9,18A,4.05,2.78,2.07E-06,0.98,3.66
17,19,5,9.82,4.12,2.79E-06,0.99,3.48
18,18A,8,2.78,1.95,3.55E-06,0.99,3.34
19,11,1''',6.25,4.38,1.94E-06,0.99,3.69
20,1',5,4.48,4.12,9.52E-06,0.99,2.83
21,1',4,4.48,3.07,1.01E-06,0.98,4.12
22,1''',8,4.38,1.95,8.24E-06,0.98,2.90
23,1''',9,4.38,4.05,1.6E-05,0.99,2.60
Ref,3'''A,3'''B,1.84,1.43,0.000155,0.99,1.78
