restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab
1,13,11,4.76,3.48,0.0000886,0.99,2.06
2,5,8,4.01,2.53,0.0000007,0.98,4.84
3,11,8,3.48,2.53,0.0000013,0.95,4.39
4,11,4,3.48,3.19,0.0000037,0.98,3.52
5,11,10,3.48,3.30,0.0000241,0.99,2.58
6,10,8,3.30,2.53,0.0000020,0.99,4.02
7,4,7b,3.19,1.75,0.0000423,0.96,2.34
8,5,7a,4.01,1.67,0.0000016,0.97,4.04
9,10,7a,3.30,1.67,0.0000159,0.99,2.76
10,11,7a,3.48,1.67,0.0000016,0.99,4.04
11,5,6Me,4.01,1.07,0.0000053,0.98,3.37
12,5,6OMe,4.01,2.12,0.0000298,0.99,2.47
13,11,12Me,3.48,1.58,0.0000020,0.97,3.90
14,11,6Me,3.48,1.07,0.0000003,0.99,5.12
15,11,10Me,3.48,0.99,0.0000023,0.97,3.82
16,10,12Me,3.30,1.58,0.0000013,0.93,3.87
17,8,10Me,2.53,0.99,0.0000016,0.96,4.19
18,25,6OMe,8.87,2.12,0.0000002,0.99,5.58
19,21,15,7.77,0.83,0.0000002,0.99,5.52
20,17,11,3.60,3.48,0.0000099,0.99,2.99
21,17,10,3.60,3.30,0.0000004,0.98,5.10
22,11,18,3.48,1.47,0.0000119,0.99,2.90
23,1',5,4.30,4.01,0.0000559,0.99,2.24
24,1',4,4.30,3.19,0.0000011,0.97,4.33
25,5',5,3.69,4.01,0.0000033,0.99,3.59
26,1',6Me,4.30,1.07,0.0000010,0.97,4.47
Ref,19a,19b,1.83,1.91,0.0002213,0.93,1.78
