restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab
1,13,11,4.92,3.56,0.0000059,0.99,2.76
2,2,4,3.86,3.06,0.0000108,0.99,2.50
3,11,10,3.56,3.13,0.0000050,0.99,2.83
4,5,7b,4.22,1.83,0.0000004,0.98,4.34
5,4,7a,3.06,1.58,0.0000268,0.99,2.15
6,5,6Me,4.22,1.33,0.0000184,0.99,2.29
7,11,12Me,3.56,1.46,0.0000035,0.99,3.01
8,11,10Me,3.56,1.00,0.0000003,0.99,4.46
9,10,8Me,3.13,1.16,0.0000190,0.99,2.27
10,10,12Me,3.13,1.46,0.0000508,0.99,1.93
11,4,12Me,3.06,1.46,0.0000035,0.99,3.02
12,8,6Me,2.59,1.33,0.0000261,0.99,2.16
13,11,6OMe,3.56,2.61,0.0000036,0.99,3.00
14,13,18,4.92,1.66,0.0000023,0.99,3.23
15,13,19,4.92,1.88,0.0000078,0.99,2.64
16,13,20,4.92,4.00,0.0000006,0.99,4.07
17,11,18,3.50,1.66,0.0000029,0.98,3.11
18,1',4Me,4.27,1.30,0.0000167,0.99,2.32
Ref,4'eq,4'ax,1.67,1.22,0.0000822,0.98,1.78
