restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab
1,24,23,7.49,2.87,0.00000287,0.99,3.90
2,16',21,4.70,1.26,0.00002156,0.99,2.71
3,7',19,2.01,3.32,0.00001429,0.99,2.90
4,10',20,1.52,2.94,0.00001391,0.99,2.92
5,6,7',3.51,2.01,0.00003089,0.94,2.55
6,7',8'',2.01,1.23,0.00005525,0.99,2.32
7,7'',8'',1.70,1.23,0.00003110,0.97,2.55
8,10'',11',2.17,3.16,0.00002379,0.96,2.67
9,10',11',1.52,3.16,0.00001732,0.96,2.81
Ref,7',7'',2.01,1.70,0.00026967,0.99,1.78
Ref,16',16'',4.70,3.10,0.00029107,0.99,1.76
Ref,10',10'',2.17,1.52,0.00030218,0.99,1.75
Ref,8',8'',2.12,1.23,0.00034074,0.99,1.71
Ref,26,25,7.26,7.64,0.00003494,0.99,2.50
