restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab
1,16,21,4.39,1.07,0.00001163,0.99,2.35
2,16,23,3.20,2.77,0.00000125,0.56,3.41
3,9,21,3.70,1.07,0.00000609,0.99,2.62
4,9,8,3.70,1.92,0.00000673,0.98,2.58
5,9,10,3.70,2.16,0.00000146,0.98,3.32
6,9,10,3.70,1.48,0.00000474,0.99,2.73
7,9,8,3.70,1.20,0.00000456,0.91,2.75
8,11,14,3.79,3.26,0.00002192,0.87,2.12
9,10,11,2.16,3.79,0.00000544,0.85,2.67
10,7,8,1.71,1.20,0.00000342,0.90,2.88
11,5,7,4.03,1.71,0.00000103,0.99,3.52
12,7,19,1.91,3.21,0.00000215,0.93,3.11
13,15,22,3.41,3.22,0.00000143,0.93,3.33
14,15,21,3.41,1.07,0.00000767,0.93,2.52
15,4,6,4.14,3.35,0.00000451,0.93,2.75
16,5,6,4.03,3.35,0.00000282,0.80,2.98
Ref,8,8,1.92,1.20,0.00006174,0.89,1.78
