restraint_number,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab
1,7,8,2.07,1.33,0.00011255,0.99,2.10
2,7,8,1.81,1.33,0.00003872,0.98,2.51
3,7,10,1.81,2.37,0.00004808,0.99,2.42
4,8,10,1.33,1.70,0.00004433,0.99,2.45
5,10,20,1.70,2.94,0.00002733,0.99,2.66
6,24,23,7.61,2.87,0.00000597,0.86,3.43
7,6,7,3.62,2.07,0.00005931,0.97,2.34
8,7,19,2.07,3.32,0.00002389,0.95,2.72
9,8,19,2.02,3.32,0.00000713,0.95,3.33
10,15,21,3.64,1.21,0.00002606,0.85,2.68
11,6,7,3.62,1.81,0.00003819,0.87,2.52
12,16,21,4.51,1.21,0.00003828,0.75,2.52
13,16,23,3.44,2.87,0.00002763,0.99,2.66
14,10,11,1.70,3.28,0.00001499,0.84,2.94
Ref.,10,10,2.37,1.70,0.00030503,0.99,1.78
Ref.,7,7,2.07,1.81,0.00016467,0.99,1.97
Ref.,8,8,2.02,1.33,0.00027853,0.99,1.81
Ref.14,14,21,3.39,1.21,0.00001953,0.99,2.81
