restraint_number,atom_type,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab
1,CHCH,12,18,7.11,4.89,0.00032803,0.99,1.79
2,CHCH2,12,25',7.11,3.21,0.00000176,0.96,4.27
3,CHCH2,15,21'',7.38,1.36,0.00000079,0.97,4.88
4,CHCH2,11,21'',7.44,1.36,0.00000165,0.98,4.31
5,CHCH2,15,25',7.38,3.21,0.00000124,0.98,4.52
6,CHCH2,12,21'',7.11,1.36,0.00002791,0.99,2.69
7,CHCH2,18,21'',4.89,1.36,0.00002166,0.99,2.81
8,CHCH2,12,20',7.11,1.51,0.00001966,0.98,2.85
9,CHCH2,12,20'',7.11,1.66,0.00001094,0.96,3.15
10,CHCH3,12,19,7.11,1.24,0.00005357,0.99,2.41
11,CHCH3,15,30,7.38,0.52,0.00002534,0.99,2.74
12,NH-CH,9,11,9.92,7.44,0.00002673,0.99,2.71
13,NH-CH,9,12,9.92,7.11,0.00000186,0.96,4.23
14,NH-CH,9,15,9.92,7.38,0.00005305,0.99,2.42
15,NH-CH3,9,30,9.92,0.52,0.00000205,0.99,4.16
16,CHCH2,15,6,7.38,2.55,0.00000130,0.99,4.49
17,CH2CH,31'',26,2.91,1.88,0.00006103,0.99,2.36
18,CH2CH,31',26,2.76,1.88,0.00001380,0.97,3.03
19,CH2CH2,29'',22',3.57,1.15,0.00008172,0.99,2.25
20,CH2CH2,29'',20'',3.57,1.66,0.00002479,0.95,2.75
21,CH2CH2,29'',31',3.57,2.76,0.00001481,0.98,2.99
22,CH2CH2,29',20'',3.27,1.66,0.00011210,0.99,2.13
23,CH2CH2,29',22',3.27,1.15,0.00007720,0.99,2.27
24,CH2CH2,25',21'',3.21,1.36,0.00002879,0.97,2.68
25,CH2CH2,25'',20'',3.21,1.66,0.00005752,0.99,2.39
26,CH2CH2,20'',21'',1.66,1.36,0.00006459,0.99,2.34
27,CH2CH3,29'',33,3.57,2.65,0.00000715,0.98,3.38
28,CH2CH3,25',30,3.21,0.52,0.00001086,0.96,3.15
29,CH3CH,33,26,2.65,1.88,0.00000519,0.99,3.56
30,CH2CH3,21'',30,1.36,0.52,0.00000218,0.99,4.12
31,CH2CH3,31'',33,2.91,2.65,0.00003170,0.97,2.64
32,CH2CH3,31'',30,2.91,0.52,0.00005861,0.99,2.38
33,CH2CH3,31',30,2.76,0.52,0.00003922,0.99,2.54
Ref,CH2CH2,20'',20',1.66,1.51,0.00033376,0.99,1.78
